timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668689859515,0.0546875,0.0658307,0.71615,0.133758,0.0288809,0.105413,0.137778,0.153846,0.749091,0.0723982,0.0416667,0.826162,0.0405728,0.164444,0,0,0,0,
1668689859616,0.0546875,0.0642633,0.717781,0.133758,0.0288809,0.105413,0.14,0.15522,0.749091,0.0723982,0.0416667,0.826162,0.0429594,0.164444,0,0,0,0,
1668689859716,0.0625,0.0642633,0.722675,0.133758,0.0270758,0.108262,0.133333,0.156593,0.749091,0.0701357,0.0435606,0.824441,0.0429594,0.162963,0,0,0,0,
1668689859816,0.0703125,0.0642633,0.722675,0.127389,0.0288809,0.112536,0.133333,0.15522,0.756364,0.0701357,0.0397727,0.826162,0.0429594,0.161481,0,0,0,0,
1668689859916,0.117188,0.0658307,0.717781,0.140127,0.0415162,0.111111,0.146667,0.146978,0.694545,0.0972851,0.0265152,0.75043,0.026253,0.155556,0,0,0,0,
1668689860017,0.125,0.0658307,0.699837,0.152866,0.0541516,0.15812,0.184444,0.160714,0.701818,0.10181,0.0587121,0.753873,0.0214797,0.204444,0,0,0,0,
1668689860117,0.101562,0.0705329,0.676998,0.171975,0.0559567,0.185185,0.213333,0.164835,0.632727,0.128959,0.140152,0.685026,0.0167064,0.259259,0,0,0,0,
1668689860217,0.0703125,0.0815047,0.696574,0.184713,0.0631769,0.263533,0.248889,0.171703,0.658182,0.183258,0.255682,0.64716,0.0167064,0.325926,0,0,0,0,
1668689860317,0.09375,0.0783699,0.738989,0.133758,0.0758123,0.34188,0.224444,0.182692,0.690909,0.167421,0.331439,0.623064,0.0167064,0.355556,0,0,0,0,
1668689860417,0.164062,0.0689655,0.776509,0.044586,0.102888,0.508547,0.191111,0.174451,0.774545,0.171946,0.388258,0.583477,0.026253,0.377778,0,0,0,0,
1668689860518,0.179688,0.0626959,0.809135,0.044586,0.106498,0.474359,0.204444,0.148352,0.709091,0.248869,0.479167,0.492255,0.0763723,0.419259,0,0,0,0,
1668689860618,0.195312,0.0532915,0.825449,0.0254777,0.106498,0.460114,0.213333,0.116758,0.712727,0.303167,0.532197,0.495697,0.126492,0.45037,0,0,0,0,
1668689860718,0.21875,0.0360502,0.833605,0,0.106498,0.491453,0.217778,0.103022,0.778182,0.330317,0.568182,0.509466,0.145585,0.477037,0,0,0,0,
1668689860819,0.226562,0.0266458,0.835237,0.00621118,0.108303,0.518519,0.226667,0.0989011,0.810909,0.346154,0.564394,0.516351,0.150358,0.485926,0,0,0,0,
1668689860919,0.25,0.023511,0.840131,0.00621118,0.106498,0.55698,0.233333,0.0892857,0.854545,0.346154,0.575758,0.545611,0.150358,0.488889,0,0,0,0,
1668689861019,0.273438,0.023511,0.843393,0,0.106498,0.643875,0.246667,0.0934066,0.883636,0.339367,0.594697,0.564544,0.157518,0.493333,0,0,0,0,
1668689861120,0.289062,0.0297806,0.856444,0,0.108303,0.733618,0.262222,0.120879,0.912727,0.343891,0.611742,0.564544,0.174224,0.50963,0,0,0,0,
1668689861220,0.289062,0.0282132,0.849918,0.0186335,0.106498,0.736467,0.26,0.141484,0.927273,0.337104,0.626894,0.569707,0.186158,0.522963,0,0,0,0,
1668689861320,0.328125,0.0109718,0.833605,0.0559006,0.169675,0.87037,0.295556,0.335165,1,0.361991,0.643939,0.585198,0.198091,0.527407,0,0,0,0,
1668689861420,0.46875,0.0611285,0.856444,0.10559,0.265343,0.992877,0.313333,0.398352,1,0.355204,0.643939,0.581756,0.188544,0.528889,0,0,0,0,
1668689861520,0.585938,0.10815,0.858075,0.142857,0.348375,1,0.32,0.46978,1,0.355204,0.647727,0.567986,0.176611,0.534815,0,0,0,0,
1668689861621,0.640625,0.148903,0.85155,0.118012,0.382671,1,0.308889,0.578297,0.997143,0.346154,0.649621,0.561102,0.167064,0.533333,0,0,0,0,
1668689861721,0.601562,0.188088,0.838499,0.0807453,0.388087,1,0.286667,0.703297,0.985714,0.316742,0.655303,0.574871,0.140811,0.522963,0,0,0,0,
1668689861821,0.609375,0.23511,0.833605,0.0559006,0.34657,1,0.264444,0.76511,0.934286,0.266968,0.672348,0.578313,0.102625,0.502222,0,0,0,0,
1668689861921,0.648438,0.283699,0.841762,0.0807453,0.361011,0.995349,0.26,0.778846,0.788571,0.214932,0.679924,0.552496,0.0477327,0.46963,0,0,0,0,
1668689862022,0.710938,0.346395,0.843393,0.111801,0.355596,0.975581,0.268889,0.776099,0.765714,0.228507,0.695076,0.55938,0.0405728,0.462222,0,0,0,0,
1668689862122,0.726562,0.346395,0.841762,0.118012,0.32852,0.973256,0.282222,0.758242,0.805714,0.264706,0.702652,0.574871,0.0692124,0.478519,0,0,0,0,
1668689862222,0.710938,0.340125,0.830343,0.111801,0.308664,0.965116,0.288889,0.723901,0.837143,0.271493,0.698864,0.586919,0.0883055,0.491852,0,0,0,0,
1668689862322,0.703125,0.340125,0.810767,0.0993789,0.31769,0.962791,0.286667,0.707418,0.862857,0.273756,0.69697,0.597246,0.105012,0.503704,0,0,0,0,
1668689862422,0.6875,0.34326,0.796085,0.0869565,0.34657,0.960465,0.277778,0.717033,0.845714,0.264706,0.695076,0.51463,0.116945,0.515556,0,0,0,0,
1668689862523,0.679688,0.338558,0.792822,0.0931677,0.366426,0.95,0.273333,0.701923,0.822857,0.257919,0.689394,0.39759,0.128878,0.522963,0,0,0,0,
1668689862623,0.679688,0.347962,0.787928,0.0931677,0.388087,0.952326,0.273333,0.710165,0.828571,0.257919,0.6875,0.387263,0.105012,0.478519,0,0,0,0,
1668689862723,0.695312,0.311912,0.797716,0.136646,0.379061,0.948837,0.277778,0.696429,0.845714,0.260181,0.676136,0.524957,0.0883055,0.460741,0,0,0,0,
1668689862824,0.6875,0.299373,0.797716,0.142857,0.373646,0.940698,0.273333,0.660714,0.86,0.246606,0.674242,0.595525,0.071599,0.472593,0,0,0,0,
1668689862924,0.695312,0.283699,0.797716,0.161491,0.366426,0.939535,0.277778,0.57967,0.894286,0.244344,0.719697,0.581756,0.097852,0.595556,0,0,0,0,
1668689863024,0.703125,0.258621,0.810767,0.192547,0.351986,0.92093,0.28,0.512363,0.9,0.246606,0.731061,0.57315,0.116945,0.626667,0,0,0,0,
1668689863124,0.671875,0.252351,0.807504,0.167702,0.353791,0.89186,0.273333,0.479396,0.9,0.233032,0.744318,0.574871,0.116945,0.623704,0,0,0,0,
1668689863224,0.632812,0.241379,0.800979,0.15528,0.353791,0.883721,0.273333,0.48489,0.891429,0.223982,0.744318,0.580034,0.121718,0.625185,0,0,0,0,
1668689863325,0.625,0.239812,0.78956,0.142857,0.370036,0.894186,0.273333,0.491758,0.891429,0.230769,0.748106,0.583477,0.128878,0.628148,0,0,0,0,
1668689863425,0.453125,0.12069,0.768352,0.0621118,0.351986,0.826744,0.226667,0.603022,0.777143,0.160633,0.717803,0.605852,0.102625,0.591111,0,0,0,0,
1668689863525,0.3125,0.0423197,0.742251,0.0310559,0.194946,0.823256,0.153333,0.611264,0.634286,0.0361991,0.623106,0.581756,0.0668258,0.457778,0,0,0,0,
1668689863625,0.210938,0.039185,0.618271,0.0124224,0.131769,0.504651,0.144444,0.471154,0.574286,0.0361991,0.464015,0.574871,0.0692124,0.383704,0,0,0,0,
1668689863726,0.164062,0.039185,0.67863,0.10559,0.106498,0.290698,0.182222,0.392857,0.514286,0.081448,0.337121,0.598967,0.0668258,0.312593,0,0,0,0,
1668689863826,0.171875,0.0376176,0.711256,0.130435,0.102888,0.259302,0.191111,0.347527,0.497143,0.104072,0.263258,0.597246,0.0644391,0.278519,0,0,0,0,
1668689863926,0.164062,0.0360502,0.724307,0.136646,0.0956679,0.224419,0.188889,0.302198,0.462857,0.11086,0.212121,0.580034,0.0572792,0.260741,0,0,0,0,
1668689864026,0.140625,0.0344828,0.729201,0.124224,0.0884477,0.19186,0.18,0.293956,0.44,0.117647,0.19697,0.540448,0.0429594,0.25037,0,0,0,0,
1668689864126,0.171875,0.0360502,0.763458,0.124224,0.0866426,0.172093,0.173333,0.243132,0.44,0.138009,0.149621,0.512909,0.0453461,0.231111,0,0,0,0,
1668689864227,0.1875,0.0376176,0.769984,0.136646,0.0848375,0.163953,0.153333,0.20467,0.451429,0.131222,0.125,0.523236,0.0429594,0.214815,0,0,0,0,
1668689864327,0.164062,0.0344828,0.773246,0.142857,0.0631769,0.17093,0.113333,0.15522,0.528571,0.140271,0.106061,0.581756,0.0453461,0.192593,0,0,0,0,
1668689864427,0.210938,0.0329154,0.694943,0.180124,0.0397112,0.181395,0.0888889,0.119505,0.665714,0.133484,0.0757576,0.784854,0.0572792,0.205926,0,0,0,0,
1668689864528,0.203125,0.031348,0.714519,0.186335,0.034296,0.182558,0.0866667,0.125,0.648571,0.124434,0.0738636,0.771084,0.0596659,0.204444,0,0,0,0,
1668689864628,0.195312,0.0297806,0.725938,0.192547,0.0306859,0.175581,0.0844444,0.130495,0.642857,0.124434,0.0738636,0.762478,0.0548926,0.207407,0,0,0,0,
1668689864728,0.195312,0.0266458,0.725938,0.186335,0.0288809,0.174419,0.0844444,0.135989,0.642857,0.126697,0.0738636,0.760757,0.0548926,0.207407,0,0,0,0,
1668689864828,0.203125,0.0282132,0.727569,0.186335,0.0306859,0.174419,0.0844444,0.138736,0.645714,0.128959,0.0738636,0.760757,0.052506,0.205926,0,0,0,0,
1668689864928,0.195312,0.0266458,0.730832,0.192547,0.0270758,0.172093,0.0844444,0.149725,0.648571,0.128959,0.0738636,0.760757,0.0548926,0.207407,0,0,0,0,
1668689865029,0.195312,0.0282132,0.729201,0.186335,0.0270758,0.17093,0.0844444,0.152473,0.651429,0.131222,0.0738636,0.762478,0.052506,0.207407,0,0,0,0,
1668689865129,0.195312,0.0282132,0.724307,0.186335,0.0270758,0.17093,0.0844444,0.152473,0.654286,0.133484,0.0719697,0.762478,0.052506,0.205926,0,0,0,0,
1668689865229,0.195312,0.0282132,0.725938,0.192547,0.0252708,0.17093,0.0844444,0.153846,0.654286,0.131222,0.0719697,0.762478,0.052506,0.207407,0,0,0,0,
1668689865329,0.195312,0.0266458,0.727569,0.192547,0.0270758,0.17093,0.0844444,0.15522,0.654286,0.131222,0.0700758,0.7642,0.052506,0.205926,0,0,0,0,
1668689865430,0.195312,0.0266458,0.730832,0.186335,0.0252708,0.172093,0.0822222,0.153846,0.657143,0.133484,0.0700758,0.7642,0.0501193,0.205926,0,0,0,0,
1668689865530,0.1875,0.0250784,0.74062,0.192547,0.0252708,0.173256,0.0844444,0.153846,0.662857,0.135747,0.0681818,0.765921,0.0501193,0.205926,0,0,0,0,
1668689865630,0.1875,0.0250784,0.747145,0.186335,0.0234657,0.174419,0.0844444,0.153846,0.662857,0.138009,0.0681818,0.765921,0.0501193,0.205926,0,0,0,0,
1668689865730,0.1875,0.0250784,0.75367,0.186335,0.0234657,0.173256,0.0844444,0.15522,0.665714,0.140271,0.0681818,0.767642,0.0501193,0.205926,0,0,0,0,
1668689865831,0.179688,0.0250784,0.75367,0.192547,0.0216607,0.172093,0.0822222,0.15522,0.671429,0.140271,0.0681818,0.771084,0.0501193,0.205926,0,0,0,0,
1668689865931,0.1875,0.0250784,0.75367,0.192547,0.0234657,0.172093,0.0822222,0.15522,0.671429,0.142534,0.0662879,0.771084,0.052506,0.205926,0,0,0,0,
1668689866031,0.195312,0.0266458,0.745514,0.192547,0.0252708,0.169767,0.0844444,0.15522,0.665714,0.140271,0.0662879,0.767642,0.0501193,0.205926,0,0,0,0,
1668689866131,0.1875,0.0266458,0.743883,0.198758,0.0270758,0.169767,0.0844444,0.15522,0.665714,0.140271,0.0643939,0.769363,0.0501193,0.204444,0,0,0,0,
1668689866231,0.1875,0.0250784,0.74062,0.186335,0.0252708,0.169767,0.0844444,0.153846,0.662857,0.138009,0.0643939,0.769363,0.0477327,0.202963,0,0,0,0,
1668689866332,0.1875,0.0266458,0.742251,0.192547,0.0270758,0.17093,0.0844444,0.15522,0.662857,0.138009,0.0643939,0.767642,0.0501193,0.204444,0,0,0,0,
1668689866432,0.1875,0.0266458,0.743883,0.192547,0.0270758,0.169767,0.0844444,0.15522,0.662857,0.138009,0.0625,0.767642,0.0477327,0.204444,0,0,0,0,
1668689866532,0.1875,0.0250784,0.743883,0.192547,0.0252708,0.169767,0.0822222,0.15522,0.665714,0.138009,0.0625,0.769363,0.0477327,0.204444,0,0,0,0,
1668689866632,0.1875,0.0250784,0.743883,0.192547,0.0252708,0.169767,0.0844444,0.153846,0.665714,0.138009,0.0606061,0.767642,0.0477327,0.204444,0,0,0,0,
1668689866733,0.1875,0.0250784,0.742251,0.192547,0.0252708,0.169767,0.0844444,0.153846,0.665714,0.138009,0.0625,0.767642,0.0477327,0.204444,0,0,0,0,
1668689866833,0.1875,0.0250784,0.737357,0.192547,0.0270758,0.17093,0.0844444,0.153846,0.66,0.138009,0.0606061,0.765921,0.0477327,0.204444,0,0,0,0,
