timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668690259643,0.0656934,0.0433168,0.658537,0.123596,0.0501792,0.168514,0.0223881,0.179922,0.598566,0.118357,0.154122,0.626697,0.0633484,0.179448,0,0,0,0,
1668690259743,0.0656934,0.0457921,0.642857,0.106742,0.0573477,0.170732,0.0323383,0.181226,0.580645,0.120773,0.145161,0.599548,0.061086,0.167178,0,0,0,0,
1668690259843,0.0364963,0.123762,0.728223,0.0955056,0.0878136,0.525499,0.0597015,0.252934,0.634409,0.144928,0.148746,0.552036,0.0520362,0.20092,0,0,0,0,
1668690259944,0.0583942,0.288366,0.75784,0.0955056,0.0824373,0.523282,0.0771144,0.26206,0.681004,0.154589,0.159498,0.59276,0.0452489,0.234663,0,0,0,0,
1668690260044,0.0437956,0.246287,0.792683,0.11236,0.0806452,0.463415,0.104478,0.293351,0.673835,0.144928,0.215054,0.628959,0.0429864,0.280675,0,0,0,0,
1668690260144,0.0218978,0.0903465,0.768293,0.0674157,0.0734767,0.461197,0.0920398,0.305085,0.634409,0.111111,0.236559,0.567873,0.040724,0.283742,0,0,0,0,
1668690260244,0.0291971,0.0705446,0.770035,0.0561798,0.0698925,0.494457,0.10199,0.340287,0.594982,0.118357,0.265233,0.545249,0.0542986,0.282209,0,0,0,0,
1668690260345,0.0218978,0.0717822,0.759582,0.0505618,0.0716846,0.478936,0.0995025,0.42764,0.551971,0.101449,0.378136,0.477376,0.0723982,0.27454,0,0,0,0,
1668690260445,0.0364963,0.0668317,0.768293,0.0449438,0.0716846,0.485588,0.0970149,0.487614,0.501792,0.10628,0.435484,0.377828,0.081448,0.271472,0,0,0,0,
1668690260545,0.080292,0.0606436,0.801394,0.0337079,0.062724,0.594235,0.109453,0.565841,0.451613,0.142512,0.485663,0.262443,0.113122,0.254601,0,0,0,0,
1668690260645,0.0875912,0.0965347,0.80662,0.0280899,0.0501792,0.600887,0.124378,0.64146,0.487455,0.205314,0.523297,0.269231,0.122172,0.246933,0,0,0,0,
1668690260746,0.10219,0.184406,0.764808,0.011236,0.0591398,0.634146,0.134328,0.782269,0.505376,0.193237,0.564516,0.262443,0.113122,0.22546,0,0,0,0,
1668690260846,0.145985,0.418317,0.747387,0,0.0734767,0.920177,0.149254,0.814863,0.55914,0.178744,0.620072,0.339367,0.0882353,0.242331,0,0,0,0,
1668690260946,0.167883,0.626238,0.726481,0.0335196,0.172043,1,0.136816,0.853977,0.616487,0.103865,0.673835,0.386878,0.0678733,0.271472,0,0,0,0,
1668690261046,0.167883,0.657178,0.749129,0.0446927,0.25448,0.972325,0.121891,0.886571,0.634409,0.0410628,0.675627,0.400452,0.0497738,0.263804,0,0,0,0,
1668690261147,0.19708,0.659653,0.771777,0.0446927,0.236559,0.891144,0.116915,0.891786,0.645161,0.0362319,0.673835,0.470588,0.0475113,0.259202,0,0,0,0,
1668690261247,0.211679,0.644802,0.777003,0.0502793,0.209677,0.824723,0.109453,0.891786,0.630824,0.0193237,0.688172,0.495475,0.0497738,0.27454,0,0,0,0,
1668690261347,0.218978,0.637376,0.785714,0.0502793,0.188172,0.756458,0.10199,0.89309,0.594982,0.00724638,0.731183,0.475113,0.0542986,0.326687,0,0,0,0,
1668690261447,0.240876,0.632426,0.801394,0.0558659,0.173835,0.701107,0.0995025,0.89309,0.580645,0.00483092,0.768817,0.5,0.0588235,0.391104,0,0,0,0,
1668690261548,0.240876,0.623762,0.804878,0.0614525,0.168459,0.682657,0.0920398,0.891786,0.587814,0,0.777778,0.511312,0.0633484,0.394172,0,0,0,0,
1668690261648,0.218978,0.617574,0.801394,0.0614525,0.155914,0.645756,0.0845771,0.889179,0.594982,0,0.783154,0.538462,0.0656109,0.391104,0,0,0,0,
1668690261748,0.218978,0.610148,0.811847,0.0670391,0.137993,0.599631,0.0820896,0.881356,0.598566,0,0.790323,0.556561,0.0633484,0.394172,0,0,0,0,
1668690261848,0.218978,0.606436,0.834495,0.0837989,0.12724,0.542435,0.0820896,0.878748,0.602151,0,0.795699,0.563348,0.0678733,0.397239,0,0,0,0,
1668690261948,0.218978,0.59901,0.841463,0.0837989,0.125448,0.520295,0.0771144,0.876141,0.620072,0,0.802867,0.58371,0.0678733,0.400307,0,0,0,0,
1668690262049,0.226277,0.594059,0.855401,0.0893855,0.121864,0.461255,0.0746269,0.877445,0.620072,0,0.808244,0.588235,0.0723982,0.403374,0,0,0,0,
1668690262149,0.233577,0.587871,0.860627,0.0949721,0.120072,0.446494,0.0696517,0.876141,0.62724,0,0.810036,0.595023,0.0723982,0.404908,0,0,0,0,
1668690262249,0.226277,0.584158,0.860627,0.0949721,0.120072,0.440959,0.0671642,0.877445,0.630824,0.00235294,0.810036,0.599548,0.0723982,0.409509,0,0,0,0,
1668690262349,0.226277,0.57797,0.862369,0.0893855,0.11828,0.431734,0.0646766,0.876141,0.630824,0,0.810036,0.60181,0.0746606,0.409509,0,0,0,0,
1668690262450,0.226277,0.566832,0.862369,0.0949721,0.11828,0.426199,0.0621891,0.873533,0.641577,0.00235294,0.811828,0.615385,0.0791855,0.407975,0,0,0,0,
1668690262550,0.218978,0.560644,0.862369,0.100559,0.116487,0.416974,0.0597015,0.872229,0.65233,0.00234742,0.810036,0.631222,0.0791855,0.406442,0,0,0,0,
1668690262650,0.218978,0.556931,0.857143,0.0949721,0.112903,0.404059,0.0597015,0.872229,0.65233,0.00234742,0.810036,0.635747,0.081448,0.406442,0,0,0,0,
1668690262751,0.211679,0.549505,0.853659,0.106145,0.112903,0.400369,0.0597015,0.869622,0.648746,0.00469484,0.808244,0.638009,0.0837104,0.406442,0,0,0,0,
1668690262851,0.211679,0.538366,0.855401,0.100559,0.111111,0.405904,0.0572139,0.864407,0.648746,0.00469484,0.806452,0.635747,0.0837104,0.406442,0,0,0,0,
1668690262951,0.211679,0.52599,0.857143,0.106145,0.103943,0.361624,0.0597015,0.863103,0.634409,0.00704225,0.804659,0.635747,0.0837104,0.406442,0,0,0,0,
1668690263051,0.218978,0.52104,0.848432,0.117318,0.0896057,0.280443,0.0621891,0.857888,0.641577,0.00938967,0.802867,0.68552,0.0837104,0.407975,0,0,0,0,
1668690263152,0.218978,0.433168,0.853659,0.134078,0.0698925,0.130996,0.0621891,0.837027,0.620072,0.0117371,0.801075,0.671946,0.0859729,0.411043,0,0,0,0,
1668690263252,0.131387,0.190594,0.801394,0.111732,0.0698925,0.223247,0.039801,0.803129,0.655914,0.00234742,0.756272,0.633484,0.0904977,0.409509,0,0,0,0,
1668690263352,0.0510949,0.15099,0.705575,0.0837989,0.0860215,0.214022,0.0248756,0.64146,0.666667,0.0234742,0.614695,0.626697,0.0791855,0.384969,0,0,0,0,
1668690263453,0.080292,0.14604,0.752613,0.128492,0.0949821,0.199262,0.0323383,0.547588,0.670251,0.0516432,0.532258,0.628959,0.0723982,0.338957,0,0,0,0,
1668690263553,0.080292,0.143564,0.749129,0.150838,0.0949821,0.180812,0.0497512,0.511082,0.641577,0.0704225,0.469534,0.631222,0.0701357,0.314417,0,0,0,0,
1668690263653,0.080292,0.138614,0.759582,0.139665,0.09319,0.162362,0.0522388,0.468057,0.623656,0.0798122,0.410394,0.581448,0.0678733,0.277607,0,0,0,0,
1668690263753,0.080292,0.131188,0.770035,0.117318,0.0949821,0.190037,0.0472637,0.411995,0.637993,0.0915493,0.335125,0.529412,0.0701357,0.254601,0,0,0,0,
1668690263853,0.116788,0.12005,0.764808,0.111732,0.0967742,0.193727,0.0472637,0.361147,0.616487,0.110329,0.277778,0.502262,0.0701357,0.243865,0,0,0,0,
1668690263954,0.138686,0.100248,0.750871,0.111732,0.09319,0.195572,0.0348259,0.288136,0.616487,0.13615,0.238351,0.520362,0.0678733,0.233129,0,0,0,0,
1668690264054,0.131387,0.0903465,0.827526,0.117318,0.0734767,0.193727,0.0348259,0.243807,0.759857,0.190141,0.215054,0.839366,0.0791855,0.265337,0,0,0,0,
1668690264154,0.0875912,0.0841584,0.844948,0.150838,0.0555556,0.158672,0.0298507,0.239896,0.741935,0.150235,0.222222,0.875566,0.081448,0.263804,0,0,0,0,
1668690264254,0.0875912,0.0829208,0.832753,0.162011,0.0555556,0.169742,0.0223881,0.234681,0.774194,0.143192,0.213262,0.895928,0.0746606,0.251534,0,0,0,0,
1668690264355,0.0948905,0.0841584,0.829268,0.178771,0.0501792,0.169742,0.0174129,0.234681,0.781362,0.131455,0.209677,0.904977,0.0769231,0.248466,0,0,0,0,
1668690264455,0.10219,0.0841584,0.836237,0.189944,0.0501792,0.162362,0.0199005,0.226858,0.78853,0.126761,0.206093,0.950226,0.0859729,0.254601,0,0,0,0,
