timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668690431040,0.169591,0.0791925,0.8,0.0760456,0.147217,0.383152,0.22766,0.266388,0.87037,0.24375,0.159509,0.717435,0.0321199,0.215909,0,0,0,0,
1668690431140,0.19883,0.0822981,0.794643,0.220532,0.150808,0.369565,0.325532,0.315202,0.896296,0.360417,0.251534,0.715431,0.0899358,0.232955,0,0,0,0,
1668690431240,0.192982,0.0822981,0.823214,0.243346,0.152603,0.34692,0.274468,0.331939,0.814815,0.30625,0.226994,0.683367,0.0642398,0.255682,0,0,0,0,
1668690431341,0.222222,0.0590062,0.885714,0.0152091,0.156194,0.358696,0.180851,0.35007,0.851852,0.266667,0.186094,0.603206,0.0235546,0.258523,0,0,0,0,
1668690431441,0.216374,0.0419255,0.923214,0.00378788,0.157989,0.490036,0.165957,0.330544,0.948148,0.252083,0.169734,0.561122,0.00214133,0.261364,0,0,0,0,
1668690431541,0.181287,0.0372671,0.9,0.0151515,0.152603,0.513587,0.151064,0.322176,0.951852,0.216667,0.186094,0.569138,0,0.272727,0,0,0,0,
1668690431641,0.146199,0.0295031,0.875,0.0151515,0.147217,0.490036,0.13617,0.329149,0.922222,0.177083,0.231084,0.611222,0.0042735,0.292614,0,0,0,0,
1668690431742,0.134503,0.0279503,0.875,0.0227273,0.138241,0.470109,0.138298,0.333333,0.911111,0.15625,0.274029,0.649299,0.0128205,0.31108,0,0,0,0,
1668690431842,0.128655,0.0232919,0.880357,0.0189394,0.131059,0.481884,0.142553,0.334728,0.903704,0.145833,0.286299,0.705411,0.0192308,0.319602,0,0,0,0,
1668690431942,0.122807,0.0232919,0.876786,0.0189394,0.127469,0.503623,0.148936,0.331939,0.907407,0.14375,0.300613,0.729459,0.0213675,0.325284,0,0,0,0,
1668690432042,0.128655,0.0201863,0.889286,0.0189394,0.120287,0.514493,0.161702,0.348675,0.914815,0.139583,0.327198,0.769539,0.0235043,0.330966,0,0,0,0,
1668690432143,0.146199,0.0170807,0.910714,0.0151515,0.114901,0.501812,0.191489,0.440725,0.925926,0.133333,0.382413,0.835671,0.0320513,0.339489,0,0,0,0,
1668690432243,0.140351,0.124224,0.891071,0.0151515,0.116697,0.544384,0.212766,0.550907,0.948148,0.139583,0.449898,0.841683,0.0277778,0.34517,0,0,0,0,
1668690432343,0.152047,0.299689,0.896429,0.0265152,0.141831,0.586957,0.231915,0.589958,0.959259,0.160417,0.464213,0.789579,0.0192308,0.350852,0,0,0,0,
1668690432443,0.245614,0.40528,0.908929,0.0454545,0.192101,0.636775,0.244681,0.670851,0.962963,0.18125,0.490798,0.719439,0.0128205,0.355114,0,0,0,0,
1668690432544,0.385965,0.459627,0.9125,0.0643939,0.220826,0.651268,0.246809,0.719665,0.966667,0.183333,0.529652,0.695391,0.00641026,0.353693,0,0,0,0,
1668690432644,0.426901,0.465839,0.9,0.0757576,0.233393,0.654891,0.251064,0.735007,0.988889,0.1875,0.558282,0.723447,0.0106838,0.355114,0,0,0,0,
1668690432744,0.438596,0.462733,0.889286,0.0795455,0.24237,0.639493,0.261702,0.737796,0.966667,0.202083,0.613497,0.725451,0.0128205,0.359375,0,0,0,0,
1668690432844,0.45614,0.456522,0.882143,0.0833333,0.244165,0.630435,0.268085,0.729428,0.966667,0.204167,0.664622,0.729459,0.0149573,0.365057,0,0,0,0,
1668690432944,0.45614,0.46118,0.883929,0.0984849,0.24237,0.621377,0.268085,0.725244,0.966667,0.208333,0.672802,0.727455,0.0149573,0.367898,0,0,0,0,
1668690433045,0.467836,0.462733,0.889286,0.102273,0.244165,0.615942,0.268085,0.723849,0.962963,0.20625,0.672802,0.723447,0.0149573,0.369318,0,0,0,0,
1668690433145,0.48538,0.456522,0.891071,0.102273,0.244165,0.608696,0.26383,0.725244,0.940741,0.18125,0.676892,0.719439,0.0235043,0.370739,0,0,0,0,
1668690433245,0.497076,0.453416,0.896429,0.094697,0.238779,0.596014,0.251064,0.729428,0.9,0.15,0.678937,0.719439,0.0277778,0.366477,0,0,0,0,
1668690433345,0.491228,0.453416,0.892857,0.094697,0.236984,0.596014,0.248936,0.730823,0.896296,0.14375,0.678937,0.719439,0.0277778,0.365057,0,0,0,0,
1668690433446,0.497076,0.451863,0.892857,0.094697,0.238779,0.597826,0.248936,0.736402,0.896296,0.145833,0.678937,0.717435,0.0299145,0.365057,0,0,0,0,
1668690433546,0.497076,0.444099,0.896429,0.0984849,0.236984,0.587862,0.248936,0.739191,0.885185,0.147917,0.678937,0.715431,0.0299145,0.365057,0,0,0,0,
1668690433646,0.497076,0.440994,0.898214,0.0984849,0.236984,0.592391,0.246809,0.739191,0.888889,0.14375,0.676892,0.717435,0.0320513,0.365057,0,0,0,0,
1668690433746,0.508772,0.437888,0.903571,0.0984849,0.233393,0.588768,0.246809,0.740586,0.885185,0.145833,0.672802,0.717435,0.0320513,0.365057,0,0,0,0,
1668690433847,0.508772,0.445652,0.9,0.102273,0.244165,0.593297,0.244681,0.748954,0.888889,0.15,0.672802,0.717435,0.0299145,0.365057,0,0,0,0,
1668690433947,0.51462,0.442547,0.901786,0.106061,0.240575,0.588768,0.248936,0.747559,0.892593,0.15625,0.672802,0.717435,0.0299145,0.365057,0,0,0,0,
1668690434047,0.51462,0.430124,0.903571,0.106061,0.231598,0.580616,0.251064,0.743375,0.896296,0.164583,0.668712,0.721443,0.034188,0.363636,0,0,0,0,
1668690434147,0.526316,0.419255,0.907143,0.109848,0.235189,0.586957,0.251064,0.743375,0.907407,0.166667,0.666667,0.725451,0.0320513,0.366477,0,0,0,0,
1668690434248,0.532164,0.399068,0.914286,0.113636,0.233393,0.586957,0.253192,0.739191,0.918519,0.175,0.660532,0.729459,0.0320513,0.366477,0,0,0,0,
1668690434348,0.538012,0.38354,0.921429,0.113636,0.226212,0.586051,0.257447,0.725244,0.922222,0.191667,0.640082,0.729459,0.0277778,0.366477,0,0,0,0,
1668690434448,0.532164,0.354037,0.926786,0.125,0.202873,0.572464,0.26383,0.698745,0.918519,0.222917,0.607362,0.725451,0.025641,0.369318,0,0,0,0,
1668690434548,0.520468,0.274845,0.932143,0.140152,0.157989,0.522645,0.285106,0.591353,0.914815,0.277083,0.562372,0.729459,0.0192308,0.375,0,0,0,0,
