timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668524172674,0.257143,0.173913,0.995708,0.0353535,0.0179533,0.201878,0.0344828,0.0843243,0.342593,0.127413,0.010101,0.15415,0.0334728,0.0474777,0,0,0,0,
1668524172774,0.285714,0.173913,0.991701,0.0378788,0.0179533,0.248826,0.0397878,0.109189,0.347222,0.129344,0.0185185,0.162055,0.0251046,0.0519288,0,0,0,0,
1668524172874,0.314286,0.130435,0.966805,0.0328283,0.0179533,0.298122,0.0397878,0.121081,0.435185,0.15251,0.0252525,0.158103,0.013947,0.0474777,0,0,0,0,
1668524172975,0.428571,0,0.954357,0.0277778,0.016158,0.570423,0.0371353,0.151351,0.518519,0.164093,0.03367,0.26087,0.0041841,0.0489614,0,0,0,0,
1668524173075,0.657143,0,1,0.0252525,0.0233393,0.903756,0.0344828,0.163243,0.569444,0.150579,0.03367,0.379447,0,0.0489614,0,0,0,0,
1668524173175,0.8,0.0208333,0.991803,0.0252525,0.0287253,1,0.0344828,0.206486,0.546296,0.142857,0.0353535,0.565217,0.0013947,0.0578635,0,0,0,0,
1668524173275,0.942857,0.0625,0.991803,0.0378788,0.0682226,0.997712,0.0344828,0.250811,0.49537,0.119691,0.0387205,0.652174,0,0.0756677,0,0,0,0,
1668524173375,1,0.104167,0.959016,0.050505,0.157989,1,0.0371353,0.328649,0.472222,0.100386,0.040404,0.6917,0.0027894,0.0979228,0,0,0,0,
1668524173476,1,0.291667,0.930328,0.0631313,0.271095,1,0.0397878,0.44,0.449074,0.0733591,0.0420875,0.699605,0,0.114243,0,0,0,0,
1668524173576,1,0.5625,0.913934,0.0883838,0.32675,1,0.0344828,0.500541,0.444444,0.034749,0.026936,0.711462,0,0.120178,0,0,0,0,
1668524173676,1,0.8125,0.922131,0.138889,0.314183,0.948104,0.0344828,0.542703,0.259259,0.034749,0.010101,0.26087,0.038674,0.14095,0,0,0,0,
1668524173776,1,1,0.852459,0.159091,0.285458,0.976048,0.0397878,0.601081,0.226852,0.0019305,0.0909091,0.055336,0.0428177,0.179525,0,0,0,0,
1668524173877,1,1,0.82377,0.174242,0.260323,0.996008,0.0424403,0.647568,0.199074,0,0.183502,0,0.051105,0.197329,0,0,0,0,
1668524173977,1,1,0.82377,0.176768,0.244165,0.992079,0.0424403,0.686486,0.171296,0,0.262626,0.0267559,0.0359116,0.222552,0,0,0,0,
1668524174077,0.982456,1,0.815574,0.179293,0.228007,0.978218,0.0424403,0.705946,0.171296,0,0.282828,0.083612,0.0276243,0.234421,0,0,0,0,
1668524174177,0.982759,0.986842,0.827869,0.179293,0.219031,0.980198,0.0424403,0.712432,0.175926,0,0.272727,0.0936455,0.0262431,0.235905,0,0,0,0,
1668524174277,0.982759,0.973684,0.905738,0.156566,0.197487,0.972277,0.0397878,0.713513,0.171296,0,0.237374,0.120401,0.0151934,0.234421,0,0,0,0,
1668524174378,0.931035,1,0.905738,0.138889,0.201077,0.978218,0.0371353,0.71027,0.180556,0,0.220539,0.140468,0.00966851,0.234421,0,0,0,0,
1668524174478,0.931035,1,0.872951,0.141414,0.217235,0.99604,0.0371353,0.701622,0.194444,0,0.217172,0.16388,0.00966851,0.237389,0,0,0,0,
1668524174578,0.965517,0.942857,0.864754,0.146465,0.228007,1,0.0397878,0.699459,0.203704,0.00185529,0.223906,0.177258,0.00966851,0.24184,0,0,0,0,
1668524174678,0.948276,0.828571,0.864754,0.141414,0.228007,0.998039,0.0371353,0.690811,0.199074,0,0.218855,0.19398,0.00966851,0.243323,0,0,0,0,
1668524174778,0.913793,0.704762,0.868852,0.136364,0.226212,1,0.0397878,0.675676,0.212963,0.00371058,0.195286,0.214047,0.00966851,0.237389,0,0,0,0,
1668524174878,0.913793,0.590476,0.856557,0.133838,0.222621,0.998039,0.0397878,0.667027,0.222222,0.00556586,0.186869,0.234114,0.00690608,0.235905,0,0,0,0,
1668524174979,0.931035,0.6,0.856557,0.133838,0.228007,0.998039,0.0424403,0.675676,0.212963,0.00371058,0.198653,0.234114,0.00828729,0.238872,0,0,0,0,
1668524175079,0.931035,0.6,0.844262,0.128788,0.231598,0.994118,0.0397878,0.677838,0.208333,0.00371058,0.207071,0.240803,0.00966851,0.243323,0,0,0,0,
1668524175179,0.913793,0.6,0.836066,0.128788,0.233393,0.990196,0.0424403,0.674595,0.212963,0.00371058,0.207071,0.250836,0.00966851,0.243323,0,0,0,0,
1668524175279,0.87931,0.590476,0.82377,0.126263,0.233393,0.990196,0.0424403,0.672432,0.217593,0.00371058,0.203704,0.257525,0.0110497,0.24184,0,0,0,0,
1668524175379,0.87931,0.580952,0.819672,0.126263,0.233393,0.988235,0.0424403,0.674595,0.217593,0.00371058,0.19697,0.264214,0.00966851,0.238872,0,0,0,0,
1668524175479,0.87931,0.561905,0.819672,0.128788,0.233393,0.984314,0.0424403,0.675676,0.217593,0.00371058,0.193603,0.267559,0.00966851,0.237389,0,0,0,0,
1668524175580,0.87931,0.561905,0.811475,0.128788,0.231598,0.984314,0.0424403,0.675676,0.217593,0.00371058,0.193603,0.267559,0.00966851,0.237389,0,0,0,0,
1668524175680,0.862069,0.571429,0.807377,0.126263,0.231598,0.982353,0.0424403,0.674595,0.212963,0.00371058,0.195286,0.270903,0.00828729,0.237389,0,0,0,0,
1668524175780,0.862069,0.552381,0.807377,0.126263,0.231598,0.976471,0.0424403,0.673514,0.217593,0.00371058,0.193603,0.274247,0.00966851,0.237389,0,0,0,0,
1668524175881,0.844828,0.552381,0.803279,0.123737,0.233393,0.972549,0.0424403,0.673514,0.217593,0.00371058,0.195286,0.270903,0.0110497,0.237389,0,0,0,0,
1668524175981,0.862069,0.552381,0.807377,0.123737,0.233393,0.970588,0.0397878,0.673514,0.217593,0.00185529,0.195286,0.274247,0.00966851,0.237389,0,0,0,0,
1668524176081,0.862069,0.561905,0.807377,0.123737,0.233393,0.966667,0.0397878,0.673514,0.212963,0.00185529,0.19697,0.274247,0.00966851,0.237389,0,0,0,0,
1668524176181,0.844828,0.552381,0.807377,0.123737,0.235189,0.966667,0.0397878,0.673514,0.212963,0,0.19697,0.274247,0.00966851,0.237389,0,0,0,0,
1668524176281,0.862069,0.552381,0.803279,0.121212,0.238779,0.964706,0.0424403,0.674595,0.212963,0.00185529,0.198653,0.274247,0.00828729,0.235905,0,0,0,0,
1668524176382,0.862069,0.571429,0.79918,0.123737,0.247756,0.962745,0.0424403,0.677838,0.208333,0,0.203704,0.287625,0.00828729,0.237389,0,0,0,0,
1668524176482,0.862069,0.619048,0.782787,0.126263,0.267504,0.966667,0.0397878,0.686486,0.199074,0,0.212121,0.220736,0.00828729,0.234421,0,0,0,0,
1668524176582,0.87931,0.695238,0.770492,0.121212,0.308797,0.972549,0.0397878,0.697297,0.199074,0.00184502,0.228956,0.234114,0.00966851,0.240356,0,0,0,0,
1668524176682,0.87931,0.780952,0.758197,0.118687,0.364452,0.978431,0.0424403,0.707027,0.199074,0.00184162,0.244108,0.227425,0.0110497,0.244807,0,0,0,0,
1668524176782,0.87931,0.790476,0.745902,0.113636,0.414722,0.990196,0.0397878,0.71027,0.199074,0,0.247475,0.217391,0.0110497,0.244807,0,0,0,0,
1668524176883,0.896552,0.771429,0.741803,0.108586,0.463196,1,0.0397878,0.71027,0.208333,0,0.240741,0.19398,0.00828729,0.240356,0,0,0,0,
1668524176983,0.87931,0.761905,0.741803,0.0984849,0.531418,1,0.0371353,0.708108,0.222222,0,0.228956,0.16388,0.00552486,0.234421,0,0,0,0,
1668524177083,0.862069,0.780952,0.745902,0.0934343,0.587074,1,0.0344828,0.709189,0.236111,0,0.223906,0.157191,0.00552486,0.22997,0,0,0,0,
1668524177183,0.862069,0.780952,0.758197,0.0883838,0.601436,1,0.0291777,0.709189,0.25463,0,0.217172,0.180602,0.00690608,0.231454,0,0,0,0,
1668524177283,0.827586,0.809524,0.782787,0.0934343,0.606822,1,0.0265252,0.71027,0.268519,0,0.208754,0.217391,0.00414365,0.231454,0,0,0,0,
1668524177384,0.844828,0.742857,0.770492,0.0959596,0.606822,1,0.0265252,0.707027,0.282407,0,0.203704,0.250836,0.00276243,0.228487,0,0,0,0,
1668524177484,0.896552,0.533333,0.745902,0.106061,0.606822,1,0.0318302,0.695135,0.291667,0,0.183502,0.277592,0.00137931,0.219585,0,0,0,0,
1668524177584,0.913793,0.514286,0.75,0.113636,0.608618,1,0.0344828,0.692973,0.296296,0.00180832,0.181818,0.284281,0.00689655,0.221068,0,0,0,0,
1668524177684,0.931035,0.485714,0.75,0.113636,0.608618,1,0.0318302,0.692973,0.305556,0,0.178451,0.287625,0.00689655,0.222552,0,0,0,0,
1668524177784,0.931035,0.47619,0.737705,0.116162,0.608618,1,0.0344828,0.691892,0.328704,0.00361011,0.170034,0.324415,0.00689655,0.225519,0,0,0,0,
1668524177885,0.913793,0.485714,0.729508,0.116162,0.599641,1,0.0318302,0.690811,0.337963,0.00361011,0.161616,0.334448,0.00689655,0.225519,0,0,0,0,
1668524177985,0.896552,0.47619,0.717213,0.116162,0.603232,0.984102,0.0318302,0.692973,0.328704,0.00180505,0.159933,0.337793,0.0110345,0.227003,0,0,0,0,
1668524178085,0.862069,0.428571,0.704918,0.111111,0.61939,0.980922,0.0291777,0.698378,0.314815,0.00180505,0.164983,0.337793,0.0110345,0.234421,0,0,0,0,
1668524178185,0.775862,0.342857,0.684426,0.106061,0.61939,0.969793,0.0291777,0.697297,0.305556,0,0.158249,0.341137,0.00827586,0.231454,0,0,0,0,
1668524178285,0.603448,0.219048,0.72541,0.0883838,0.543986,0.936407,0.0291777,0.692973,0.296296,0,0.141414,0.337793,0.00137931,0.227003,0,0,0,0,
1668524178386,0.672414,0.209524,0.979508,0.0631313,0.163375,0.575517,0.0212202,0.52973,0.300926,0,0.138047,0.234114,0.00275862,0.222552,0,0,0,0,
1668524178486,0.689655,0.27619,0.996124,0.0454545,0.0915619,0.399046,0.0106101,0.403243,0.337963,0.0017452,0.114478,0.244147,0,0.216617,0,0,0,0,
1668524178586,0.482759,0.295238,0.72093,0.0277778,0.070018,0.317965,0.00265252,0.315676,0.342593,0.0279232,0.0976431,0.38796,0.00550206,0.189911,0,0,0,0,
1668524178686,0.310345,0.180952,0.651163,0.040404,0.0807899,0.216216,0,0.303784,0.268519,0.0541012,0.0942761,0.468227,0.0233838,0.167656,0,0,0,0,
1668524178786,0.448276,0.171429,0.631783,0.040404,0.070018,0.146264,0,0.298378,0.277778,0.0715532,0.0673401,0.561873,0.0233838,0.0994065,0,0,0,0,
1668524178887,0.517241,0.266667,0.372093,0.0176768,0.0502693,0.198728,0.00529101,0.246486,0.416667,0.102967,0.0420875,0.715719,0.0206327,0.0979228,0,0,0,0,
1668524178987,0.482759,0.27619,0.263566,0.010101,0.037702,0.228935,0.0026455,0.201081,0.518519,0.125654,0.03367,0.802676,0.0220083,0.0919881,0,0,0,0,
1668524179087,0.327586,0.257143,0.282946,0.00505051,0.032316,0.246423,0,0.179459,0.523148,0.122164,0.0286195,0.802676,0.0247593,0.0905045,0,0,0,0,
1668524179187,0.241379,0.238095,0.321705,0.00252525,0.032316,0.254372,0,0.163243,0.518519,0.109948,0.0252525,0.762542,0.0247593,0.0875371,0,0,0,0,
1668524179287,0.206897,0.209524,0.348837,0,0.037702,0.295707,0,0.136216,0.513889,0.0837696,0.020202,0.73913,0.042641,0.078635,0,0,0,0,
1668524179388,0.344828,0.190476,0.348837,0,0.037702,0.284579,0,0.124324,0.486111,0.069808,0.013468,0.658863,0.0577717,0.0697329,0,0,0,0,
1668524179488,0.37931,0.2,0.337209,0.0125,0.0394973,0.292528,0,0.117838,0.490741,0.0645724,0.00673401,0.665552,0.0674003,0.0608309,0,0,0,0,
1668524179588,0.396552,0.180952,0.391473,0.01,0.0394973,0.298887,0,0.113514,0.523148,0.0558464,0,0.688963,0.0770289,0.0548961,0,0,0,0,
1668524179688,0.482759,0.180952,0.503876,0.01,0.0394973,0.314785,0,0.11027,0.541667,0.0506108,0,0.675585,0.0797799,0.0534125,0,0,0,0,
1668524179788,0.37931,0.219048,0.879845,0.0125,0.0520646,0.349762,0.00522193,0.0908108,0.560185,0.0506108,0.00166113,0.635451,0.0577717,0.0504451,0,0,0,0,
1668524179889,0.241379,0.219048,1,0.0175,0.0466786,0.335453,0.00522193,0.0908108,0.541667,0.0575916,0.00165837,0.702341,0.0550206,0.0445104,0,0,0,0,
1668524179989,0.224138,0.180952,0.742424,0.025,0.0556553,0.354531,0.0104439,0.0886486,0.472222,0.0802792,0,0.702341,0.0440165,0.0534125,0,0,0,0,
1668524180089,0.155172,0.133333,0.655303,0.035,0.0412926,0.289348,0.0182768,0.0886486,0.439815,0.095986,0.00654664,0.789298,0.0440165,0.0593472,0,0,0,0,
1668524180189,0.12069,0.12381,0.647727,0.0375,0.0341113,0.255962,0.0182768,0.0886486,0.435185,0.0942408,0.00981997,0.745819,0.042641,0.0593472,0,0,0,0,
1668524180289,0.12069,0.114286,0.666667,0.035,0.0287253,0.232114,0.0208877,0.0918919,0.425926,0.095986,0.00981997,0.735786,0.0412655,0.0593472,0,0,0,0,
1668524180390,0.137931,0.114286,0.685606,0.0375,0.0251346,0.217806,0.0208877,0.0940541,0.416667,0.0994764,0.0114566,0.735786,0.0412655,0.0608309,0,0,0,0,
