timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668523820991,0.304348,0.0258621,0.786151,0.0335917,0.0185497,0.333333,0.0118343,0.104978,0.414508,0.130261,0.0728682,0.544643,0.0457698,0.0737952,0,0,0,0,
1668523821091,0.282609,0.0215517,0.786151,0.0335917,0.0168634,0.333333,0.0147929,0.104978,0.414508,0.128257,0.0744186,0.544643,0.0471567,0.0753012,0,0,0,0,
1668523821191,0.282609,0.0215517,0.788187,0.0335917,0.0185497,0.333333,0.0147929,0.106061,0.414508,0.130261,0.0744186,0.544643,0.0457698,0.0753012,0,0,0,0,
1668523821291,0.304348,0.0258621,0.786151,0.0335917,0.0168634,0.33157,0.0118343,0.104978,0.414508,0.128257,0.0728682,0.544643,0.0457698,0.0753012,0,0,0,0,
1668523821392,0.282609,0.0215517,0.786151,0.0335917,0.0168634,0.33157,0.0118343,0.104978,0.414508,0.130261,0.0744186,0.547619,0.0471567,0.0753012,0,0,0,0,
1668523821492,0.304348,0.0215517,0.784114,0.0335917,0.0168634,0.33157,0.0118343,0.104978,0.419689,0.132265,0.0744186,0.553571,0.0471567,0.0737952,0,0,0,0,
1668523821592,0.282609,0.0258621,0.778004,0.0361757,0.0202361,0.301587,0.0147929,0.107143,0.414508,0.138277,0.0744186,0.52381,0.0443828,0.0768072,0,0,0,0,
1668523821693,0.282609,0.0387931,0.712831,0.0542636,0.0219224,0.259259,0.0177515,0.128788,0.310881,0.118236,0.075969,0.375,0.0485437,0.0813253,0,0,0,0,
1668523821793,0.347826,0.0387931,0.694501,0.0594315,0.0269815,0.255732,0.0177515,0.138528,0.305699,0.116232,0.0775194,0.366071,0.0513176,0.0843373,0,0,0,0,
1668523821893,0.326087,0.0474138,0.678208,0.0620155,0.0337268,0.268078,0.0177515,0.15368,0.331606,0.114228,0.0821705,0.360119,0.0457698,0.0888554,0,0,0,0,
1668523821993,0.304348,0.0474138,0.625255,0.0490956,0.0354132,0.268078,0.0177515,0.158009,0.305699,0.106212,0.0837209,0.282738,0.0471567,0.0873494,0,0,0,0,
1668523822094,0.282609,0.0387931,0.509165,0.0284238,0.0455312,0.197531,0.0118343,0.185065,0.160622,0.0601202,0.0868217,0.113095,0.0707351,0.0903614,0,0,0,0,
1668523822194,0.326087,0.0344828,0.511202,0.0180879,0.0708263,0.137566,0,0.20671,0.0518135,0.0300601,0.0868217,0.0178571,0.0984743,0.0858434,0,0,0,0,
1668523822294,0.282609,0.12931,0.513238,0.0206718,0.182125,0.0617284,0,0.337662,0,0.0460922,0.0651163,0,0.227462,0.13253,0,0,0,0,
1668523822394,0.23913,0.612069,0.501018,0.0103359,0.379427,0.0176367,0.00584795,0.471861,0,0.0741483,0.0790698,0,0.363384,0.183735,0,0,0,0,
1668523822494,0.152174,0.818965,0.496945,0.0258398,0.642496,0,0.0467836,0.65368,0,0.114228,0.265116,0.00327869,0.42025,0.177711,0,0,0,0,
1668523822595,0.130435,0.758621,0.488798,0.0465116,0.677909,0.0224913,0.0380117,0.705628,0.040678,0.1002,0.317829,0.0344262,0.459085,0.171687,0,0,0,0,
1668523822695,0.152174,0.775862,0.488798,0.0439276,0.688027,0.0415225,0.0292398,0.71645,0.0644068,0.0941884,0.330233,0.0508197,0.472954,0.167169,0,0,0,0,
1668523822795,0.217391,0.732759,0.509165,0.0361757,0.693086,0.0605536,0.0146199,0.720779,0.0847458,0.0801603,0.328682,0.0622951,0.456311,0.164157,0,0,0,0,
1668523822895,0.195652,0.672414,0.503055,0.0258398,0.711636,0.16436,0.00584795,0.722944,0.101695,0.0681363,0.333333,0.0836066,0.423024,0.164157,0,0,0,0,
1668523822995,0.26087,0.689655,0.509165,0.0258398,0.718381,0.209343,0.00584795,0.725108,0.115254,0.0721443,0.337985,0.0704918,0.42025,0.164157,0,0,0,0,
1668523823095,0.23913,0.74569,0.490835,0.0258398,0.721754,0.202422,0.00584795,0.728355,0.125424,0.0841683,0.342636,0.0409836,0.450763,0.164157,0,0,0,0,
1668523823196,0.173913,1,0.458248,0.0206718,0.733558,0.219723,0.00584795,0.730519,0.142373,0.0861723,0.355039,0.0229508,0.474341,0.159639,0,0,0,0,
