timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668524280935,0.25,0.02,0.996622,0.040678,0.0184255,0.217172,0.0337079,0.13549,0.440191,0.130802,0.02,0.701087,0.0587432,0.0384615,0,0,0,0,
1668524281035,0.25,0.025,1,0.0440678,0.0184255,0.217172,0.0337079,0.13549,0.440191,0.130802,0.02,0.701087,0.057377,0.0384615,0,0,0,0,
1668524281135,0.25,0.025,0.996622,0.040678,0.0184255,0.219697,0.0337079,0.134479,0.440191,0.130802,0.0183333,0.695652,0.057377,0.0384615,0,0,0,0,
1668524281235,0.25,0.025,0.993243,0.040678,0.0184255,0.219697,0.0308989,0.134479,0.440191,0.130802,0.0183333,0.690217,0.057377,0.0384615,0,0,0,0,
1668524281336,0.25,0.02,0.986486,0.040678,0.0217755,0.222222,0.0308989,0.134479,0.435407,0.130802,0.0166667,0.663043,0.057377,0.0384615,0,0,0,0,
1668524281436,0.25,0.02,0.962838,0.0474576,0.0268007,0.227273,0.0308989,0.136502,0.392345,0.126582,0.00833333,0.657609,0.0546448,0.0358974,0,0,0,0,
1668524281536,0.194444,0.03,0.881757,0.0677966,0.0335008,0.255051,0.0365169,0.169869,0.325359,0.0907173,0,0.576087,0.0532787,0.0371795,0,0,0,0,
1668524281636,0.194444,0.035,0.810811,0.101695,0.0351759,0.252525,0.0365169,0.182002,0.272727,0.0970464,0,0.467391,0.0751366,0.0435897,0,0,0,0,
1668524281736,0.194444,0.035,0.790541,0.105085,0.0351759,0.239899,0.0393258,0.188069,0.248804,0.0991561,0.00166113,0.26087,0.0778688,0.0602564,0,0,0,0,
1668524281836,0.25,0.045,0.780405,0.101695,0.040201,0.19697,0.0365169,0.206269,0.272727,0.107595,0.013289,0.217391,0.0560109,0.0705128,0,0,0,0,
1668524281937,0.277778,0.055,0.831081,0.061017,0.0485762,0.128788,0.0421348,0.222447,0.301435,0.147679,0.0232558,0.184783,0.0368852,0.0615385,0,0,0,0,
1668524282037,0.333333,0.055,0.858108,0.040678,0.0653266,0.136364,0.0898876,0.188069,0.454545,0.263713,0.0215947,0.288043,0.0300546,0.05,0,0,0,0,
1668524282137,0.388889,0.055,0.810811,0.061017,0.0603015,0.234848,0.0730337,0.224469,0.392345,0.21097,0.0365449,0.516304,0.0273224,0.0846154,0,0,0,0,
1668524282237,0.583333,0.03,0.837838,0.0881356,0.0485762,0.426768,0.0421348,0.336704,0.330144,0.111814,0.0730897,0.619565,0.0273224,0.166667,0,0,0,0,
1668524282337,0.833333,0.01,0.898649,0.0915254,0.0301508,0.494949,0.0449438,0.323559,0.363636,0.0991561,0.101329,0.63587,0.0191257,0.201282,0,0,0,0,
1668524282437,0.944444,0.005,0.922297,0.0847458,0.0234506,0.532828,0.0421348,0.290192,0.368421,0.0970464,0.0913621,0.625,0.0136612,0.191026,0,0,0,0,
1668524282538,1,0.005,0.932432,0.0813559,0.0201005,0.568182,0.0421348,0.26997,0.37799,0.092827,0.076412,0.630435,0.00819672,0.180769,0,0,0,0,
1668524282638,0.948718,0.005,0.912162,0.0813559,0.0201005,0.560606,0.0421348,0.263903,0.368421,0.0843882,0.0714286,0.630435,0.0068306,0.173077,0,0,0,0,
1668524282738,0.923077,0.005,0.902027,0.0779661,0.0201005,0.558081,0.0393258,0.261881,0.368421,0.0843882,0.0714286,0.630435,0.00819672,0.173077,0,0,0,0,
1668524282838,0.923077,0.005,0.905405,0.0779661,0.0217755,0.55303,0.0393258,0.261881,0.363636,0.0822785,0.0697674,0.63587,0.0068306,0.171795,0,0,0,0,
1668524282938,0.974359,0.005,0.912162,0.0745763,0.0201005,0.575758,0.0393258,0.259858,0.368421,0.0780591,0.0697674,0.630435,0.00546448,0.171795,0,0,0,0,
