timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668524570334,0.333333,0.0564516,0.766938,0.0771704,0.0297723,0.16643,0.0431472,0.148958,0.442675,0.0658683,0.0576,0.834197,0.0255319,0.0137845,0,0,0,0,
1668524570434,0.333333,0.0564516,0.764228,0.073955,0.0297723,0.16643,0.0431472,0.152083,0.442675,0.0718563,0.0592,0.830743,0.0255319,0.0150376,0,0,0,0,
1668524570534,0.333333,0.0564516,0.758808,0.073955,0.0297723,0.163585,0.0431472,0.153125,0.436306,0.0738523,0.0608,0.825561,0.0255319,0.0162907,0,0,0,0,
1668524570634,0.309524,0.0645161,0.737127,0.073955,0.033275,0.16643,0.0456853,0.152083,0.38535,0.0618762,0.056,0.792746,0.022695,0.0162907,0,0,0,0,
1668524570735,0.333333,0.0564516,0.691057,0.073955,0.0315236,0.163585,0.0482234,0.1625,0.33758,0.0319361,0.0496,0.739206,0.0312057,0.018797,0,0,0,0,
1668524570835,0.380952,0.0322581,0.685637,0.0707396,0.0315236,0.167852,0.0482234,0.164583,0.321656,0.00598802,0.0496,0.728843,0.0340426,0.018797,0,0,0,0,
1668524570935,0.5,0.00806452,0.663957,0.0546624,0.0315236,0.183499,0.0431472,0.223958,0.296178,0,0.0592,0.737478,0.0255319,0,0,0,0,0,
1668524571035,0.738095,0.0403226,0.728997,0.0385852,0.0420315,0.15505,0.0279188,0.230208,0.207006,0,0.0512,0.632124,0.0340426,0,0,0,0,0,
1668524571135,0.97619,0.0887097,0.802168,0.0353698,0.0420315,0.156472,0.0228426,0.239583,0.238853,0.00179533,0.0432,0.678756,0.0496454,0,0,0,0,0,
1668524571236,1,0.112903,0.826558,0.022508,0.0525394,0.197724,0.0253807,0.33125,0.210191,0.00359066,0.0608,0.658031,0.0893617,0.0233415,0,0,0,0,
1668524571336,1,0.112903,0.821138,0.0160772,0.0665499,0.317212,0.0329949,0.503125,0.207006,0.0125673,0.1104,0.683938,0.102128,0.0540541,0,0,0,0,
1668524571436,1,0.209677,0.799458,0.0128617,0.122592,0.421053,0.0406091,0.580208,0.207006,0.0143627,0.1888,0.671848,0.0964539,0.0859951,0,0,0,0,
1668524571536,1,0.25,0.780488,0.0289389,0.178634,0.55761,0.0482234,0.604167,0.200637,0.0179533,0.2464,0.639033,0.100709,0.125307,0,0,0,0,
1668524571637,0.983871,0.290323,0.731707,0.0482315,0.175131,0.652916,0.0583756,0.605208,0.203822,0.0305206,0.3024,0.580311,0.0865248,0.176904,0,0,0,0,
1668524571737,0.983871,0.290323,0.704607,0.0578778,0.148862,0.669986,0.0634518,0.591667,0.207006,0.037702,0.2944,0.568221,0.0865248,0.175676,0,0,0,0,
1668524571837,0.983871,0.282258,0.653117,0.0675241,0.143608,0.72404,0.0685279,0.613542,0.267516,0.0448833,0.3168,0.64076,0.0992908,0.164619,0,0,0,0,
