timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668524819897,0.240741,0.0582524,0.581858,0.102632,0.00541516,0.143627,0.0329114,0.18931,0.344538,0.0996504,0.0748175,0.746032,0.0343511,0.108499,0,0,0,0,
1668524819997,0.222222,0.038835,0.581858,0.0973684,0.00541516,0.140036,0.0329114,0.18931,0.344538,0.0996504,0.0748175,0.743764,0.0343511,0.108499,0,0,0,0,
1668524820097,0.240741,0.0485437,0.581858,0.1,0.00541516,0.138241,0.0329114,0.18931,0.344538,0.101399,0.0766423,0.741497,0.0356234,0.108499,0,0,0,0,
1668524820198,0.240741,0.0485437,0.581858,0.102632,0.00541516,0.13465,0.0329114,0.18931,0.344538,0.101399,0.0766423,0.739229,0.0356234,0.110307,0,0,0,0,
1668524820298,0.222222,0.0485437,0.579646,0.105263,0.00541516,0.129264,0.0329114,0.190423,0.344538,0.0996504,0.0766423,0.732426,0.0356234,0.110307,0,0,0,0,
1668524820398,0.222222,0.0582524,0.559735,0.105263,0.00902527,0.132855,0.035443,0.19265,0.323529,0.0961538,0.0711679,0.698413,0.0343511,0.112116,0,0,0,0,
1668524820498,0.185185,0.0776699,0.519912,0.126316,0.0162455,0.141831,0.0531646,0.195991,0.281513,0.0909091,0.0620438,0.566893,0.0610687,0.103074,0,0,0,0,
1668524820598,0.148148,0.116505,0.464602,0.152632,0.0198556,0.136445,0.0911392,0.211581,0.273109,0.101399,0.0711679,0.548753,0.0788804,0.121157,0,0,0,0,
1668524820698,0.222222,0.0970874,0.475664,0.121053,0.0144404,0.174147,0.043038,0.211581,0.277311,0.0786713,0.0784672,0.54195,0.0356234,0.119349,0,0,0,0,
1668524820799,0.296296,0.0582524,0.502212,0.0105263,0.0487365,0.416517,0.0202532,0.195991,0.386555,0.0402098,0.080292,0.560091,0,0.106691,0,0,0,0,
1668524820899,0.407407,0,0.542035,0.0184211,0.0505415,0.543986,0.00759494,0.185969,0.478992,0.00174825,0.0875912,0.573696,0,0.126582,0,0,0,0,
1668524820999,0.777778,0.0188679,0.597345,0.0289474,0.0451264,0.682226,0,0.209354,0.584034,0,0.0930657,0.643991,0,0.146474,0,0,0,0,
1668524821099,0.962963,0.0566038,0.59292,0.0184211,0.064982,0.791741,0.0126582,0.261693,0.663866,0,0.080292,0.702948,0.00124533,0.17179,0,0,0,0,
