timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668692561232,0.27551,0.0747922,0.40512,0.154676,0.040856,0.291747,0.050505,0.0410317,0.75,0.154255,0.0334395,0.978673,0.0953437,0.0610022,0,0,0,0,
1668692561332,0.27551,0.0747922,0.408133,0.151079,0.040856,0.290787,0.0484848,0.0410317,0.75,0.154255,0.0334395,0.978673,0.0953437,0.0610022,0,0,0,0,
1668692561432,0.27551,0.0747922,0.408133,0.151079,0.0389105,0.289827,0.0484848,0.0410317,0.745614,0.154255,0.0350318,0.979858,0.0964523,0.0610022,0,0,0,0,
1668692561533,0.265306,0.0747922,0.408133,0.158273,0.0389105,0.284069,0.0464646,0.042204,0.75,0.154255,0.0350318,0.982228,0.097561,0.0610022,0,0,0,0,
1668692561633,0.265306,0.0775623,0.403614,0.154676,0.036965,0.279271,0.0464646,0.042204,0.75,0.152482,0.0350318,0.985782,0.0986696,0.0610022,0,0,0,0,
1668692561733,0.255102,0.0803324,0.399096,0.154676,0.0350195,0.267754,0.0444444,0.0433763,0.745614,0.150709,0.0366242,0.992891,0.100887,0.0610022,0,0,0,0,
1668692561833,0.244898,0.0803324,0.5,0.133094,0.0252918,0.24952,0.0343434,0.0691676,0.75,0.14539,0.0477707,0.99763,0.107539,0.0577342,0,0,0,0,
1668692561934,0.22449,0.0941828,0.524096,0.0611511,0.128405,0.567178,0.0707071,0.153576,0.70614,0.14539,0.0843949,0.922639,0.0631929,0.0544662,0,0,0,0,
1668692562034,0.204082,0.0886427,0.64006,0.0503597,0.20428,0.568138,0.0767677,0.15592,0.671053,0.136525,0.100318,0.519909,0.0254989,0.0424837,0,0,0,0,
1668692562134,0.204082,0.0692521,0.774096,0.0683453,0.196498,0.358925,0.0686869,0.112544,0.535088,0.115248,0.0780255,0.432309,0.0210643,0.0305011,0,0,0,0,
1668692562234,0.163265,0.066482,0.849398,0.0827338,0.159533,0.172745,0.0565657,0.0937866,0.45614,0.106383,0.071656,0.418658,0.0199557,0.0206972,0,0,0,0,
1668692562334,0.142857,0.0747922,0.887048,0.0863309,0.14786,0.15547,0.0545455,0.0890973,0.416667,0.10461,0.071656,0.405006,0.0177384,0.0250545,0,0,0,0,
1668692562435,0.122449,0.0803324,0.881024,0.0827338,0.13035,0.147793,0.0585859,0.0961313,0.346491,0.109929,0.0780255,0.391354,0.0199557,0.0337691,0,0,0,0,
1668692562535,0.122449,0.0886427,0.893072,0.0791367,0.122568,0.136276,0.0626263,0.104338,0.280702,0.118794,0.0907643,0.39818,0.0243902,0.0544662,0,0,0,0,
1668692562635,0.102041,0.204986,0.923193,0.0755396,0.126459,0.130518,0.0686869,0.144197,0.311404,0.138298,0.130573,0.445961,0.0232816,0.0849673,0,0,0,0,
1668692562735,0.0816327,0.235457,0.932229,0.0719424,0.149805,0.165067,0.0989899,0.337632,0.114035,0.180851,0.245223,0.405006,0.0277162,0.104575,0,0,0,0,
1668692562836,0.0408163,0.360111,0.941265,0.0791367,0.155642,0.201536,0.10303,0.357562,0,0.163121,0.273885,0.393629,0.0221729,0.0784314,0,0,0,0,
1668692562936,0.0306122,0.407202,0.936747,0.0755396,0.153696,0.199616,0.0868687,0.398593,0,0.140071,0.321656,0.415245,0.0221729,0.105664,0,0,0,0,
1668692563036,0.0306122,0.415512,0.914157,0.0791367,0.143969,0.193858,0.0787879,0.405627,0.00406504,0.12766,0.33758,0.441411,0.0210643,0.123094,0,0,0,0,
1668692563136,0.0306122,0.418283,0.911145,0.0899281,0.134241,0.1881,0.0747475,0.4068,0.0121951,0.12234,0.348726,0.4562,0.0210643,0.136166,0,0,0,0,
1668692563237,0.0306122,0.421053,0.909639,0.0899281,0.132296,0.18714,0.0707071,0.412661,0.00813008,0.115248,0.35828,0.472127,0.0221729,0.149237,0,0,0,0,
