timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668692320262,0.276596,0.121447,0.629124,0.287582,0.112216,0.400182,0.111349,0.149364,0.758621,0.11332,0.169468,0.692494,0.0273038,0.255342,0,0,0,0,
1668692320363,0.265957,0.118863,0.627986,0.27451,0.112216,0.399271,0.111349,0.148305,0.756158,0.11332,0.168067,0.692494,0.0273038,0.25641,0,0,0,0,
1668692320463,0.276596,0.121447,0.630262,0.281046,0.112216,0.400182,0.111349,0.149364,0.758621,0.11332,0.168067,0.692494,0.0284414,0.25641,0,0,0,0,
1668692320563,0.276596,0.121447,0.630262,0.287582,0.112216,0.400182,0.111349,0.149364,0.758621,0.11332,0.169468,0.692494,0.0284414,0.255342,0,0,0,0,
1668692320663,0.265957,0.121447,0.627986,0.287582,0.112216,0.399271,0.109208,0.148305,0.758621,0.115308,0.169468,0.692494,0.0273038,0.255342,0,0,0,0,
1668692320764,0.276596,0.121447,0.629124,0.287582,0.113636,0.400182,0.111349,0.149364,0.758621,0.11332,0.169468,0.692494,0.0284414,0.25641,0,0,0,0,
1668692320864,0.265957,0.121447,0.627986,0.287582,0.112216,0.396536,0.11349,0.149364,0.756158,0.115308,0.169468,0.686844,0.0295791,0.258547,0,0,0,0,
1668692320964,0.255319,0.126615,0.622298,0.30719,0.103693,0.408386,0.197002,0.150424,0.751232,0.222664,0.180672,0.611784,0.0921502,0.286325,0,0,0,0,
1668692321064,0.276596,0.131783,0.612059,0.27451,0.109375,0.41021,0.111349,0.168432,0.729064,0.153082,0.196078,0.564972,0.0967008,0.305556,0,0,0,0,
1668692321165,0.329787,0.0956072,0.648464,0.27451,0.134943,0.415679,0.0256959,0.1875,0.67734,0.105368,0.170868,0.45682,0.0682594,0.301282,0,0,0,0,
1668692321265,0.361702,0.0801034,0.699659,0.287582,0.15767,0.425706,0.0192719,0.165254,0.756158,0.0596421,0.151261,0.403551,0.0443686,0.291667,0,0,0,0,
1668692321365,0.351064,0.0645995,0.730375,0.27451,0.161932,0.398359,0.0214133,0.150424,0.800493,0.0735587,0.145658,0.38983,0.0420933,0.299145,0,0,0,0,
1668692321465,0.329787,0.0645995,0.744027,0.267974,0.163352,0.355515,0.0235546,0.141949,0.79064,0.0874752,0.141457,0.372074,0.0432309,0.300214,0,0,0,0,
1668692321565,0.329787,0.0749354,0.748578,0.254902,0.160511,0.302644,0.0278373,0.144068,0.756158,0.109344,0.140056,0.351897,0.0557452,0.309829,0,0,0,0,
1668692321666,0.297872,0.108527,0.754266,0.215686,0.149148,0.245214,0.0385439,0.173729,0.682266,0.190855,0.196078,0.362389,0.113766,0.372863,0,0,0,0,
1668692321766,0.297872,0.183463,0.779295,0.202614,0.140625,0.193254,0.0877944,0.316737,0.625616,0.250497,0.284314,0.371267,0.149033,0.396368,0,0,0,0,
1668692321866,0.319149,0.175711,0.778157,0.183007,0.184659,0.22516,0.147752,0.355932,0.583744,0.270378,0.322129,0.323648,0.137656,0.388889,0,0,0,0,
1668692321966,0.297872,0.198966,0.788396,0.189542,0.178977,0.223336,0.137045,0.329449,0.5,0.210736,0.34874,0.351897,0.0773606,0.386752,0,0,0,0,
1668692322066,0.276596,0.165375,0.774744,0.196078,0.178977,0.242479,0.111349,0.309322,0.5,0.15507,0.331933,0.443099,0.0341297,0.396368,0,0,0,0,
1668692322167,0.255319,0.155039,0.769056,0.20915,0.178977,0.239745,0.0899358,0.29767,0.495074,0.119284,0.331933,0.48184,0.0307167,0.395299,0,0,0,0,
1668692322267,0.212766,0.149871,0.767918,0.20915,0.176136,0.236098,0.0728051,0.301907,0.492611,0.0735587,0.34874,0.529459,0.0295791,0.402778,0,0,0,0,
1668692322367,0.180851,0.162791,0.78157,0.222222,0.173295,0.224248,0.0599572,0.310381,0.490148,0.0417495,0.351541,0.556901,0.0238908,0.407051,0,0,0,0,
1668692322468,0.180851,0.160207,0.788396,0.222222,0.176136,0.230629,0.0556745,0.319915,0.502463,0.0258449,0.354342,0.565779,0.0216155,0.413462,0,0,0,0,
1668692322568,0.170213,0.162791,0.794084,0.215686,0.178977,0.227894,0.0513919,0.338983,0.492611,0.00994036,0.357143,0.569814,0.0193402,0.410256,0,0,0,0,
1668692322668,0.159574,0.157623,0.773606,0.20915,0.18608,0.228806,0.0471092,0.351695,0.502463,0.00795229,0.355742,0.573043,0.0193402,0.392094,0,0,0,0,
1668692322768,0.180851,0.126615,0.76678,0.215686,0.144886,0.329079,0.0342612,0.191737,0.566502,0.00795229,0.19888,0.54883,0.0216155,0.280983,0,0,0,0,
1668692322868,0.212766,0.113695,0.731513,0.228758,0.137784,0.426618,0.0299786,0.120763,0.711823,0,0.140056,0.560129,0.0227531,0.248932,0,0,0,0,
1668692322969,0.255319,0.121447,0.609784,0.228758,0.113636,0.372835,0.0149893,0.128178,0.738916,0.00194175,0.140056,0.578692,0.0182025,0.244658,0,0,0,0,
1668692323069,0.265957,0.116279,0.606371,0.24183,0.107955,0.284412,0.0149893,0.139831,0.711823,0.015534,0.142857,0.615819,0.0193402,0.25,0,0,0,0,
1668692323169,0.265957,0.111111,0.604096,0.24183,0.105114,0.282589,0.012848,0.141949,0.70197,0.0252427,0.144258,0.650525,0.0159272,0.25641,0,0,0,0,
1668692323269,0.287234,0.100775,0.573379,0.261438,0.105114,0.279854,0.00856531,0.14089,0.70197,0.0330097,0.144258,0.673931,0.0182025,0.257479,0,0,0,0,
1668692323370,0.276596,0.0878553,0.459613,0.267974,0.105114,0.295351,0,0.113347,0.741379,0.0349515,0.133053,0.711057,0.0204778,0.240385,0,0,0,0,
1668692323470,0.329787,0.0826873,0.288965,0.222222,0.12642,0.486782,0.0234043,0.0413136,0.923645,0.0854369,0.113445,0.757062,0.0273038,0.220085,0,0,0,0,
1668692323570,0.340426,0.108527,0.188851,0.235294,0.119318,0.569736,0.0340426,0.0360169,0.995074,0.0815534,0.106443,0.812752,0.0341297,0.207265,0,0,0,0,
1668692323671,0.329787,0.0775194,0.187713,0.261438,0.110795,0.496809,0.0212766,0.0275424,0.953883,0.0543689,0.0882353,0.828087,0.0534699,0.200855,0,0,0,0,
1668692323771,0.340426,0.0516796,0.224118,0.27451,0.107955,0.507748,0.0234043,0.029661,0.941748,0.0563107,0.0840336,0.808717,0.0546075,0.202991,0,0,0,0,
1668692323871,0.329787,0.0465116,0.236633,0.300654,0.102273,0.485871,0.012766,0.0233051,0.934466,0.0446602,0.0770308,0.817595,0.0705347,0.196581,0,0,0,0,
1668692323971,0.329787,0.0465116,0.25256,0.30719,0.0980114,0.471285,0.00851064,0.0211864,0.932039,0.0407767,0.0742297,0.820823,0.0796359,0.193376,0,0,0,0,
1668692324072,0.319149,0.0490956,0.274175,0.30719,0.0894886,0.457612,0.00212766,0.0222458,0.924757,0.0407767,0.070028,0.825666,0.0853242,0.190171,0,0,0,0,
1668692324172,0.319149,0.0490956,0.281001,0.320261,0.0880682,0.450319,0.00212766,0.0211864,0.92233,0.0407767,0.0686275,0.824859,0.0875995,0.189103,0,0,0,0,
1668692324272,0.319149,0.0490956,0.283276,0.326797,0.0866477,0.447584,0.00212766,0.0222458,0.92233,0.0407767,0.0686275,0.824859,0.0887372,0.190171,0,0,0,0,
1668692324372,0.308511,0.0490956,0.287827,0.320261,0.0838068,0.44485,0.00212766,0.0233051,0.92233,0.0407767,0.0672269,0.824859,0.0898749,0.189103,0,0,0,0,
1668692324472,0.308511,0.0542636,0.341297,0.333333,0.0724432,0.399271,0,0.032839,0.910194,0.038835,0.0672269,0.834544,0.0921502,0.186966,0,0,0,0,
1668692324573,0.297872,0.0671835,0.381115,0.359477,0.0724432,0.365542,0,0.0423729,0.881068,0.0330097,0.0658263,0.830508,0.0989761,0.184829,0,0,0,0,
1668692324673,0.297872,0.0620155,0.37884,0.339869,0.0724432,0.367366,0,0.0444915,0.883495,0.031068,0.0658263,0.829701,0.0978385,0.185897,0,0,0,0,
1668692324773,0.308511,0.0645995,0.382253,0.346405,0.0724432,0.367366,0,0.0466102,0.885922,0.031068,0.0672269,0.829701,0.0978385,0.185897,0,0,0,0,
1668692324873,0.297872,0.0645995,0.384528,0.346405,0.0724432,0.365542,0.00209644,0.0487288,0.88835,0.0330097,0.0686275,0.830508,0.0989761,0.185897,0,0,0,0,
1668692324973,0.297872,0.0645995,0.382253,0.346405,0.0724432,0.368277,0.00209644,0.0508475,0.88835,0.031068,0.0672269,0.829701,0.0978385,0.186966,0,0,0,0,
1668692325074,0.308511,0.0671835,0.375427,0.326797,0.0738636,0.384686,0.00628931,0.0529661,0.893204,0.0330097,0.0672269,0.824052,0.0978385,0.186966,0,0,0,0,
1668692325174,0.297872,0.0671835,0.375427,0.333333,0.0724432,0.385597,0.00628931,0.0550847,0.893204,0.0349515,0.0672269,0.824052,0.0978385,0.186966,0,0,0,0,
1668692325274,0.287234,0.0645995,0.375427,0.333333,0.0710227,0.386509,0.00628931,0.0550847,0.893204,0.0349515,0.0672269,0.823245,0.0978385,0.186966,0,0,0,0,
1668692325374,0.297872,0.0671835,0.376564,0.333333,0.0724432,0.385597,0.00628931,0.0561441,0.893204,0.0349515,0.0672269,0.824052,0.100114,0.186966,0,0,0,0,
1668692325475,0.297872,0.0671835,0.37884,0.333333,0.0710227,0.381951,0.00628931,0.0561441,0.893204,0.0349515,0.0672269,0.824052,0.0989761,0.186966,0,0,0,0,
1668692325575,0.297872,0.0645995,0.379977,0.339869,0.0724432,0.379216,0.00628931,0.0572034,0.893204,0.031068,0.0672269,0.824052,0.0989761,0.186966,0,0,0,0,
1668692325676,0.308511,0.0671835,0.37884,0.333333,0.0724432,0.380128,0.00628931,0.0572034,0.893204,0.0330097,0.0672269,0.824052,0.0989761,0.186966,0,0,0,0,
1668692325776,0.297872,0.0645995,0.377702,0.339869,0.0724432,0.380128,0.00838574,0.0582627,0.893204,0.0330097,0.0686275,0.823245,0.0978385,0.188034,0,0,0,0,
1668692325876,0.297872,0.0671835,0.381115,0.339869,0.0724432,0.378304,0.00628931,0.0582627,0.893204,0.0330097,0.0686275,0.823245,0.0989761,0.186966,0,0,0,0,
1668692325976,0.297872,0.0671835,0.382253,0.339869,0.0724432,0.372835,0.00419287,0.0582627,0.88835,0.0330097,0.0672269,0.823245,0.101251,0.188034,0,0,0,0,
1668692326076,0.297872,0.0671835,0.37884,0.333333,0.0738636,0.383774,0.00838574,0.0614407,0.893204,0.0349515,0.0686275,0.82163,0.0978385,0.188034,0,0,0,0,
1668692326177,0.308511,0.0671835,0.37884,0.333333,0.0724432,0.384686,0.00838574,0.0625,0.898058,0.0330097,0.0686275,0.822437,0.0978385,0.188034,0,0,0,0,
1668692326277,0.297872,0.0671835,0.379977,0.333333,0.0724432,0.382862,0.00838574,0.0614407,0.898058,0.0349515,0.0686275,0.823245,0.0967008,0.186966,0,0,0,0,
1668692326377,0.297872,0.0645995,0.382253,0.339869,0.0724432,0.381951,0.00838574,0.0625,0.898058,0.0330097,0.0686275,0.823245,0.0967008,0.186966,0,0,0,0,
1668692326477,0.287234,0.0645995,0.385666,0.339869,0.0710227,0.378304,0.00419287,0.0614407,0.895631,0.031068,0.0686275,0.824052,0.0978385,0.186966,0,0,0,0,
1668692326578,0.297872,0.0645995,0.389078,0.333333,0.0724432,0.37557,0.00419287,0.0603814,0.893204,0.0330097,0.0686275,0.825666,0.0989761,0.185897,0,0,0,0,
1668692326678,0.297872,0.0620155,0.394767,0.346405,0.0724432,0.373747,0.00419287,0.0614407,0.893204,0.031068,0.0686275,0.826473,0.0978385,0.186966,0,0,0,0,
1668692326778,0.297872,0.0620155,0.394767,0.346405,0.0724432,0.374658,0.00419287,0.0603814,0.898058,0.031068,0.0672269,0.82728,0.0967008,0.184829,0,0,0,0,
1668692326878,0.297872,0.0620155,0.393629,0.339869,0.0724432,0.373747,0.00419287,0.0603814,0.895631,0.031068,0.0672269,0.826473,0.0978385,0.184829,0,0,0,0,
1668692326978,0.287234,0.0645995,0.393629,0.339869,0.0738636,0.373747,0.00419287,0.0603814,0.893204,0.031068,0.0672269,0.826473,0.0978385,0.184829,0,0,0,0,
1668692327079,0.287234,0.0645995,0.393629,0.346405,0.0724432,0.371923,0.00419287,0.059322,0.895631,0.031068,0.0658263,0.82728,0.0989761,0.184829,0,0,0,0,
1668692327179,0.297872,0.0620155,0.394767,0.339869,0.0724432,0.372835,0.00419287,0.059322,0.895631,0.031068,0.0672269,0.828087,0.0978385,0.184829,0,0,0,0,
1668692327279,0.287234,0.0645995,0.394767,0.346405,0.0724432,0.371923,0.00209644,0.059322,0.895631,0.031068,0.0658263,0.828087,0.0978385,0.184829,0,0,0,0,
1668692327379,0.287234,0.0645995,0.395904,0.352941,0.0738636,0.371923,0.00209644,0.0603814,0.895631,0.031068,0.0658263,0.828087,0.0978385,0.184829,0,0,0,0,
1668692327480,0.297872,0.0620155,0.395904,0.346405,0.0724432,0.371923,0.00209644,0.059322,0.895631,0.0330097,0.0658263,0.828087,0.0978385,0.184829,0,0,0,0,
1668692327580,0.287234,0.0645995,0.395904,0.346405,0.0724432,0.371012,0.00209644,0.0603814,0.895631,0.031068,0.0672269,0.828087,0.0978385,0.183761,0,0,0,0,
