timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668692848333,0.2,0.043038,0.448898,0.126126,0.040856,0.508091,0.014862,0.0047619,0.820961,0.0285714,0.00330579,0.817391,0.0548926,0.0947109,0,0,0,0,
1668692848433,0.2,0.043038,0.442886,0.121622,0.036965,0.501618,0.014862,0.00714286,0.816594,0.0304762,0.00330579,0.823602,0.0536993,0.0947109,0,0,0,0,
1668692848533,0.191304,0.0405063,0.44489,0.126126,0.0330739,0.496764,0.014862,0.00833333,0.820961,0.0285714,0.00330579,0.828571,0.0536993,0.0947109,0,0,0,0,
1668692848634,0.191304,0.0379747,0.458918,0.130631,0.0272374,0.470874,0.014862,0.0130952,0.820961,0.0304762,0.00661157,0.84472,0.0548926,0.0947109,0,0,0,0,
1668692848734,0.156522,0.0379747,0.47495,0.135135,0.0175097,0.428803,0.0127389,0.0321429,0.834061,0.0304762,0.0198347,0.901863,0.0584726,0.0947109,0,0,0,0,
1668692848834,0.13913,0.0481013,0.671343,0.135135,0.0194553,0.553398,0.0212314,0.0654762,0.978166,0.0419048,0.0446281,1,0.0620525,0.0885609,0,0,0,0,
1668692848934,0.0608696,0.0658228,0.921844,0.0990991,0.0544747,0.760518,0.0806794,0.247619,0.799127,0.0647619,0.163636,0.938922,0.0572792,0.177122,0,0,0,0,
1668692849035,0.0695652,0.0556962,0.95992,0.0990991,0.0661479,0.739482,0.118896,0.342857,0.532751,0.0761905,0.53719,0.74012,0.0417661,0.414514,0,0,0,0,
1668692849135,0.0869565,0.0405063,0.997996,0.121622,0.0856031,0.632686,0.150743,0.411905,0.414847,0.0914286,0.621488,0.534132,0.0178998,0.551046,0,0,0,0,
1668692849235,0.0956522,0.0303797,1,0.13964,0.103113,0.601942,0.167728,0.455952,0.358079,0.102857,0.677686,0.458683,0.00835322,0.662977,0,0,0,0,
1668692849335,0.104348,0.0253165,1,0.153153,0.110895,0.610032,0.180467,0.465476,0.393013,0.110476,0.719008,0.469461,0.0202864,0.710947,0,0,0,0,
1668692849436,0.113043,0.0202532,0.998073,0.162162,0.110895,0.618123,0.201699,0.435714,0.497817,0.135238,0.705785,0.526946,0.0346062,0.702337,0,0,0,0,
1668692849536,0.113043,0.0177215,1,0.157658,0.108949,0.671521,0.203822,0.380952,0.550218,0.139048,0.704132,0.541317,0.0346062,0.696187,0,0,0,0,
1668692849636,0.130435,0.0151899,1,0.148649,0.105058,0.697411,0.205945,0.346429,0.576419,0.140952,0.705785,0.560479,0.0286396,0.682657,0,0,0,0,
1668692849736,0.130435,0.0202532,1,0.153153,0.105058,0.70712,0.203822,0.338095,0.58952,0.137143,0.71405,0.568862,0.0238663,0.674047,0,0,0,0,
