timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668693098804,0.808511,0.0603774,0.252358,0.12963,0.0517598,0.467557,0.0516432,0.00864198,0.735683,0.0707269,0.0659898,0.777778,0.0101523,0.100529,0,0,0,0,
1668693098905,0.787234,0.0566038,0.25,0.125926,0.0517598,0.465649,0.0492958,0.00864198,0.726872,0.0726916,0.0642978,0.781893,0.0101523,0.0992064,0,0,0,0,
1668693099005,0.808511,0.0566038,0.254717,0.125926,0.0496894,0.467557,0.0516432,0.00864198,0.731278,0.0726916,0.0659898,0.786008,0.0101523,0.0978836,0,0,0,0,
1668693099105,0.808511,0.0566038,0.257075,0.12963,0.0496894,0.46374,0.0492958,0.00740741,0.731278,0.0726916,0.0642978,0.796296,0.00888325,0.0939153,0,0,0,0,
1668693099205,0.702128,0.0339623,0.360849,0.122222,0.0331263,0.530534,0.0492958,0.0135802,0.784141,0.0785855,0.0693739,0.880658,0.0101523,0.0925926,0,0,0,0,
1668693099306,0.574468,0.0113208,0.65566,0.118519,0.0351967,0.421756,0.0352113,0.0259259,0.722467,0.0628684,0.0846024,0.893004,0,0.0687831,0,0,0,0,
1668693099406,0.446809,0.00377358,0.761792,0.0962963,0.0310559,0.299618,0.0633803,0.054321,0.440529,0.064833,0.0761421,0.631687,0.0150188,0.0251323,0,0,0,0,
1668693099506,0.276596,0.00754717,0.926887,0.0777778,0.0165631,0.416031,0.251174,0.112346,0.440529,0.223969,0.155668,0.563786,0.0938673,0.130952,0,0,0,0,
1668693099606,0.276596,0,1,0.0740741,0.0372671,0.333969,0.161972,0.165432,0.414097,0.151277,0.23181,0.502058,0.068836,0.152116,0,0,0,0,
1668693099707,0.340426,0.00727273,1,0.0851852,0.10559,0.198473,0.07277,0.111111,0.312775,0.0609037,0.116751,0.358025,0,0.100529,0,0,0,0,
1668693099807,0.276596,0.0727273,1,0.0777778,0.132505,0.282443,0.00469484,0.0469136,0.374449,0.043222,0.0913706,0.286008,0.00372208,0.0873016,0,0,0,0,
1668693099907,0.234043,0.196364,1,0.0740741,0.130435,0.240458,0.00234742,0.0283951,0.281938,0.0373281,0.0812183,0.242798,0.00248139,0.0727513,0,0,0,0,
