timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668693325914,0.28866,0.0503145,0.4,0.157676,0.0502901,0.204641,0.0238095,0.0826446,0.694836,0.117988,0.0497427,0.772504,0.0444162,0.128419,0,0,0,0,
1668693326015,0.278351,0.0503145,0.40202,0.161826,0.0483559,0.204641,0.021645,0.0826446,0.690141,0.117988,0.0497427,0.772504,0.0444162,0.124851,0,0,0,0,
1668693326115,0.278351,0.0503145,0.40404,0.165975,0.0483559,0.204641,0.0238095,0.0826446,0.694836,0.117988,0.0497427,0.774141,0.0444162,0.12604,0,0,0,0,
1668693326215,0.28866,0.0345912,0.446465,0.145228,0.0541586,0.283755,0.0324675,0.0838253,0.779343,0.121857,0.0497427,0.793781,0.0444162,0.130797,0,0,0,0,
1668693326315,0.257732,0.0314465,0.79596,0.0995851,0.158607,0.512658,0.0627706,0.181818,0.887324,0.116054,0.104631,0.86252,0.035533,0.103448,0,0,0,0,
1668693326416,0.206186,0.0220126,0.860606,0.0788382,0.189555,0.701477,0.0865801,0.270366,0.967136,0.12766,0.346484,0.731588,0.0304569,0.315101,0,0,0,0,
1668693326516,0.195876,0,0.943434,0.0788382,0.2147,0.626582,0.0887446,0.20425,0.896714,0.102515,0.385935,0.440262,0,0.436385,0,0,0,0,
1668693326616,0.195876,0,0.991919,0.0788382,0.205029,0.50211,0.0909091,0.178276,0.765258,0.129594,0.286449,0.456628,0.0075662,0.390012,0,0,0,0,
1668693326716,0.185567,0.00311526,1,0.0829876,0.170213,0.411392,0.11039,0.316411,0.638498,0.148936,0.341338,0.492635,0.0201765,0.414982,0,0,0,0,
1668693326816,0.216495,0.0124611,0.986056,0.0829876,0.141199,0.348101,0.140693,0.468713,0.403756,0.15087,0.457976,0.423895,0.0214376,0.424495,0,0,0,0,
1668693326917,0.278351,0.0373832,0.956175,0.0954357,0.141199,0.368143,0.155844,0.50059,0.408451,0.160542,0.499142,0.414075,0.0176545,0.418549,0,0,0,0,
1668693327017,0.278351,0.0498442,0.950199,0.0995851,0.15087,0.372363,0.166667,0.528926,0.525822,0.17795,0.51458,0.430442,0.0138714,0.407848,0,0,0,0,
1668693327117,0.278351,0.0529595,0.938247,0.0912863,0.152805,0.385021,0.175325,0.538371,0.375587,0.230174,0.48199,0.384615,0.0176545,0.325803,0,0,0,0,
1668693327217,0.268041,0.0498442,0.952191,0.0995851,0.15087,0.370253,0.175325,0.534829,0.356808,0.241779,0.4494,0.407529,0.0163934,0.299643,0,0,0,0,
1668693327318,0.257732,0.0498442,0.952191,0.0995851,0.145068,0.362869,0.160173,0.533648,0.399061,0.224371,0.459691,0.427169,0.0113493,0.3044,0,0,0,0,
1668693327418,0.237113,0.046729,0.936255,0.103734,0.143133,0.357595,0.155844,0.531287,0.422535,0.210832,0.469983,0.451718,0.00882724,0.30321,0,0,0,0,
1668693327518,0.226804,0.0498442,0.934263,0.103734,0.141199,0.367089,0.15368,0.540732,0.464789,0.201161,0.488851,0.459902,0.00630517,0.313912,0,0,0,0,
1668693327619,0.226804,0.0529595,0.942231,0.103734,0.137331,0.370253,0.149351,0.541913,0.464789,0.191489,0.495712,0.461538,0.00504414,0.31629,0,0,0,0,
1668693327719,0.226804,0.0529595,0.948207,0.103734,0.139265,0.371308,0.145022,0.543093,0.474178,0.176015,0.500858,0.466448,0.00504414,0.313912,0,0,0,0,
1668693327819,0.206186,0.0529595,0.960159,0.107884,0.141199,0.367089,0.140693,0.540732,0.455399,0.158607,0.502573,0.459902,0.00252207,0.312723,0,0,0,0,
1668693327919,0.185567,0.0498442,0.978088,0.107884,0.143133,0.363924,0.134199,0.539551,0.450704,0.143133,0.504288,0.450082,0.00252207,0.309156,0,0,0,0,
1668693328020,0.164948,0.0436137,0.998008,0.103734,0.147002,0.355485,0.127706,0.539551,0.42723,0.131528,0.506003,0.448445,0.0037831,0.302021,0,0,0,0,
1668693328120,0.154639,0.046729,0.996024,0.107884,0.147002,0.347046,0.123377,0.539551,0.408451,0.121857,0.509434,0.440262,0.0037831,0.296076,0,0,0,0,
1668693328220,0.134021,0.0654206,0.950298,0.103734,0.148936,0.350211,0.123377,0.541913,0.399061,0.11412,0.516295,0.446809,0.00126103,0.271106,0,0,0,0,
1668693328320,0.113402,0.105919,0.904573,0.0995851,0.148936,0.359705,0.125541,0.547816,0.43662,0.110251,0.51801,0.517185,0.00250627,0.222354,0,0,0,0,
1668693328420,0.103093,0.115265,0.898608,0.0995851,0.147002,0.360759,0.125541,0.551358,0.408451,0.104449,0.526587,0.518822,0.0075188,0.208086,0,0,0,0,
1668693328521,0.113402,0.109034,0.910537,0.103734,0.145068,0.355485,0.123377,0.552538,0.403756,0.098646,0.533448,0.522095,0.0075188,0.21522,0,0,0,0,
1668693328621,0.113402,0.105919,0.924453,0.103734,0.145068,0.357595,0.123377,0.551358,0.413146,0.098646,0.536878,0.540098,0.00626566,0.219976,0,0,0,0,
1668693328721,0.123711,0.0996885,0.934394,0.107884,0.143133,0.360759,0.123377,0.551358,0.42723,0.0967118,0.538593,0.553191,0.00501253,0.224732,0,0,0,0,
1668693328821,0.113402,0.102804,0.944334,0.103734,0.141199,0.359705,0.121212,0.550177,0.431925,0.0947776,0.538593,0.563011,0.00626566,0.225922,0,0,0,0,
1668693328921,0.123711,0.0996885,0.946322,0.103734,0.139265,0.361814,0.121212,0.548996,0.450704,0.0928433,0.536878,0.590835,0.00626566,0.2283,0,0,0,0,
1668693329022,0.113402,0.0996885,0.950298,0.107884,0.139265,0.362869,0.121212,0.547816,0.460094,0.0909091,0.536878,0.600655,0.00501253,0.231867,0,0,0,0,
1668693329122,0.113402,0.102804,0.940358,0.107884,0.137331,0.367089,0.119048,0.547816,0.464789,0.0909091,0.536878,0.605565,0.00501253,0.234245,0,0,0,0,
1668693329222,0.113402,0.105919,0.930417,0.107884,0.137331,0.369198,0.119048,0.547816,0.478873,0.0928433,0.538593,0.620295,0.00501253,0.239001,0,0,0,0,
1668693329323,0.113402,0.105919,0.932406,0.107884,0.137331,0.370253,0.121212,0.547816,0.478873,0.0928433,0.538593,0.628478,0.00501253,0.242568,0,0,0,0,
1668693329423,0.113402,0.105919,0.934394,0.107884,0.135397,0.372363,0.121212,0.547816,0.488263,0.0928433,0.538593,0.630115,0.00501253,0.243757,0,0,0,0,
1668693329523,0.123711,0.105919,0.936382,0.107884,0.135397,0.373418,0.121212,0.546635,0.488263,0.0928433,0.536878,0.633388,0.00501253,0.243757,0,0,0,0,
1668693329623,0.113402,0.102804,0.944334,0.107884,0.135397,0.372363,0.121212,0.545455,0.483568,0.0928433,0.536878,0.631751,0.0037594,0.243757,0,0,0,0,
