timestamp, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18
1668778438251,0.104803,0.0742188,0.327869,0.0446512,0.165957,0.478006,0.111307,0.216456,0.552778,0.201258,0.0995608,0.769964,0.0420354,0.377163,0,0,0,0,
1668778438351,0.113537,0.0716146,0.256334,0.0567442,0.144681,0.534702,0.111307,0.191139,0.583333,0.184486,0.090776,0.845054,0.0464602,0.387543,0,0,0,0,
1668778438451,0.131004,0.0638021,0.353204,0.0251163,0.0964539,0.360704,0.111307,0.229114,0.680556,0.220126,0.0893119,0.636472,0.0309735,0.359862,0,0,0,0,
1668778438552,0.161572,0.0507812,0.289121,0.0176744,0.0666667,0.408602,0.116608,0.21519,0.622222,0.174004,0.0775988,0.687723,0.0365044,0.352941,0,0,0,0,
1668778438652,0.170306,0.0533854,0.324888,0.0130233,0.0638298,0.403715,0.114841,0.21519,0.605556,0.140461,0.0702782,0.674613,0.0376106,0.342561,0,0,0,0,
1668778438752,0.161572,0.0507812,0.341282,0.0148837,0.0652482,0.396872,0.111307,0.188608,0.602778,0.132075,0.0644217,0.667461,0.0376106,0.3391,0,0,0,0,
1668778438852,0.139738,0.0416667,0.336811,0.0223256,0.139007,0.365591,0.106007,0.186076,0.608333,0.115304,0.0527086,0.65435,0.0320796,0.321799,0,0,0,0,
1668778438953,0.104803,0.0911458,0.275708,0.08,0.453901,0.439883,0.107774,0.698734,0.691667,0.0587002,0.355783,0.81764,0.0519911,0.387543,0,0,0,0,
1668778439053,0.152838,0.380208,0.281669,0.164651,0.448227,0.509286,0.160777,0.848101,0.525,0.109015,0.677892,0.831943,0.149336,0.633218,0,0,0,0,
1668778439153,0.213974,0.514323,0.38152,0.267907,0.547518,0.434018,0.339223,0.855696,0.433333,0.320755,0.819912,0.774732,0.285398,0.743945,0,0,0,0,
1668778439253,0.279476,0.559896,0.42623,0.403721,0.608511,0.403715,0.514134,0.868354,0.369444,0.532495,0.910688,0.734207,0.457965,0.799308,0,0,0,0,
1668778439354,0.406114,0.697917,0.421759,0.572093,0.653901,0.435973,0.689046,0.893671,0.436111,0.725367,0.956076,0.769964,0.744469,0.875433,0,0,0,0,
1668778439454,0.432314,0.846354,0.421759,0.627907,0.675177,0.504399,0.777385,0.920253,0.533333,0.838574,0.970717,0.803337,0.821903,0.951557,0,0,0,0,
1668778439554,0.471616,0.925781,0.432191,0.667907,0.695035,0.737048,0.860424,0.935443,0.613889,0.960168,0.979502,0.771156,0.909292,0.996552,0,0,0,0,
1668778439654,0.502183,0.947917,0.445604,0.706977,0.746099,0.859238,0.911661,0.926582,0.675,0.993711,0.992679,0.725864,0.942478,0.989726,0,0,0,0,
1668778439755,0.497817,0.946615,0.447094,0.710698,0.753191,0.857283,0.915194,0.924051,0.661111,0.991614,0.995608,0.718713,0.941372,0.972603,0,0,0,0,
1668778439855,0.336245,0.86849,0.457526,0.651163,0.72766,0.901271,0.885159,0.922785,0.6,0.974843,0.995608,0.750894,0.929204,0.955479,0,0,0,0,
1668778439955,0.349345,0.699219,0.464978,0.540465,0.62695,1,0.925795,0.927848,0.641667,0.9413,0.988287,0.815256,0.949115,0.986301,0,0,0,0,
1668778440056,0.537118,0.597656,0.472429,0.444651,0.299291,0.996647,0.897527,0.925316,0.647222,0.924528,0.991215,0.815256,0.955752,1,0,0,0,0,
1668778440156,0.611354,0.651042,0.481371,0.377674,0.404255,1,0.878092,0.937975,0.638889,0.922432,0.989751,0.8236,0.960177,0.996825,0,0,0,0,
1668778440256,0.681223,0.692708,0.497765,0.332093,0.409929,1,0.844523,0.946835,0.608333,0.90566,0.980966,0.841478,0.948009,0.965079,0,0,0,0,
